Metric,Value
design__instance__count__class:antenna_cell,59
design__instance__area__class:antenna_cell,259.034
antenna_diodes_count,9
route__net,685
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,54704
route__drc_errors__iter:1,13
route__wirelength__iter:1,54694
route__drc_errors__iter:2,8
route__wirelength__iter:2,54711
route__drc_errors__iter:3,0
route__wirelength__iter:3,54690
route__drc_errors,0
route__wirelength,54690
route__vias,4423
route__vias__singlecut,4423
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1221.25
design__instance__count__class:fill_cell,17961
design__instance__area__class:fill_cell,1.22781E+6
timing__unannotated_net__count__corner:nom_tt_025C_5v00,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,7
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,5
design__max_fanout_violation__count__corner:min_tt_025C_5v00,0
design__max_cap_violation__count__corner:min_tt_025C_5v00,1
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.28919198410071767
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.288361925832881
timing__hold__ws__corner:min_tt_025C_5v00,0.6135648829341952
timing__setup__ws__corner:min_tt_025C_5v00,3.102109767975594
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.613565
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,7
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,5
design__max_fanout_violation__count__corner:min_ss_125C_4v50,0
design__max_cap_violation__count__corner:min_ss_125C_4v50,1
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.31485645537530593
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.3140183479903131
timing__hold__ws__corner:min_ss_125C_4v50,1.3720632796055687
timing__setup__ws__corner:min_ss_125C_4v50,-2.4040254911654557
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,-40.1707869449759
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,-2.4040254911654557
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.372063
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,43
timing__setup_r2r__ws__corner:min_ss_125C_4v50,0.231843
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,7
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,0
design__max_cap_violation__count__corner:min_ff_n40C_5v50,1
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.2770052599037725
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.27618047519545197
timing__hold__ws__corner:min_ff_n40C_5v50,0.2847130944925276
timing__setup__ws__corner:min_ff_n40C_5v50,5.352497263577723
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.284713
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,7
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,48
design__max_fanout_violation__count__corner:max_tt_025C_5v00,0
design__max_cap_violation__count__corner:max_tt_025C_5v00,7
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.30209965939466865
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.30090855658901283
timing__hold__ws__corner:max_tt_025C_5v00,0.6250850014527268
timing__setup__ws__corner:max_tt_025C_5v00,2.2897995259125508
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.625085
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,8.023967
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,7
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,48
design__max_fanout_violation__count__corner:max_ss_125C_4v50,0
design__max_cap_violation__count__corner:max_ss_125C_4v50,7
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.3361608586642751
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.33495715482693345
timing__hold__ws__corner:max_ss_125C_4v50,1.39092807875123
timing__setup__ws__corner:max_ss_125C_4v50,-3.7049031557979344
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,-87.24744551552597
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-3.7049031557979344
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.390928
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,60
timing__setup_r2r__ws__corner:max_ss_125C_4v50,-1.121640
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,9
timing__unannotated_net__count__corner:max_ss_125C_4v50,7
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,42
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,0
design__max_cap_violation__count__corner:max_ff_n40C_5v50,7
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.28592609644796346
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.2847456517836455
timing__hold__ws__corner:max_ff_n40C_5v50,0.2921306057521323
timing__setup__ws__corner:max_ff_n40C_5v50,4.8016028068215215
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.292131
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.9999
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,5
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.00010471
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000122064
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.00000217576
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000122064
design_powergrid__voltage__worst,0.000122064
design_powergrid__voltage__worst__net:VDD,4.9999
design_powergrid__drop__worst,0.000122064
design_powergrid__drop__worst__net:VDD,0.00010471
design_powergrid__voltage__worst__net:VSS,0.000122064
design_powergrid__drop__worst__net:VSS,0.000122064
ir__voltage__worst,5
ir__drop__avg,0.0000022100000000000000164603573826749283171011484228074550628662109375
ir__drop__worst,0.0001050000000000000043541559247017858069739304482936859130859375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
