net,length_um
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],1.77973mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],1.77454mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],1.66962mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],1.52936mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],1.4998mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],1.49115mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[2\],1.40128mm
u_transform_scheduler_core.tx_mapper_source_addr\[1\],1.37803mm
clknet_2_1_0_clk_regs,1.3504mm
clknet_2_3_0_clk_regs,1.34195mm
clknet_2_0_0_clk_regs,1.28982mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[3\],1.28429mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],1.27747mm
clknet_0_clk_regs,1.26216mm
net1269,1.25383mm
net10,1.25353mm
net1270,1.16592mm
net838,1.14593mm
clk,1.14567mm
clknet_2_2_0_clk_regs,1.14015mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[4\],1.13123mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[0\],1.12174mm
net456,1.1063mm
net928,1.08418mm
_03422_,1.07662mm
net1549,1.06827mm
u_transform_scheduler_core.bf_X1_q\[15\],1.06481mm
net1310,1.0571mm
net1311,1.05702mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],1.05285mm
net345,1.05081mm
u_transform_scheduler_core.tx_mapper_source_addr\[0\],1.03431mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[5\],1.01431mm
net11,1.01426mm
net50,1.00825mm
net1408,995.44µm
net168,995.05µm
net1630,993.13µm
_07345_,991.09µm
net1421,975.87µm
net1420,971.14µm
net1336,960.98µm
net1510,954.54µm
_05727_,952.89µm
net1418,943.54µm
net1628,942.57µm
u_transform_scheduler_core.u_mixed_radix_butterfly.multiply_product_fire,938.3µm
net8,925.22µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],924.06µm
net926,919.64µm
net108,918.7µm
net353,918.24µm
_06110_,908.01µm
u_transform_scheduler_core.bf_X1_i\[15\],900.51µm
net113,900.03µm
_04632_,899.41µm
_06108_,894.11µm
_06010_,886.86µm
_03525_,886.41µm
net986,884.23µm
net811,876.23µm
net1426,873.39µm
net1429,871.71µm
_03133_,869.88µm
net988,864.28µm
net687,863.77µm
_03545_,859.35µm
net692,857.31µm
core_X2_q\[3\],854.75µm
net1312,853.13µm
net1335,848.34µm
_07358_,843.35µm
net457,843.3µm
_07346_,840.97µm
net1151,840.25µm
net880,839.23µm
net1423,833.91µm
net837,831.39µm
core_X2_q\[2\],830.32µm
net1293,829.01µm
_06087_,828.26µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],827.6µm
net1330,825.23µm
net1054,820.5µm
_04732_,809.91µm
net325,802.58µm
net982,801.95µm
net1148,800.42µm
net1419,799.88µm
net923,799.41µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],798.74µm
net144,790.87µm
net201,789.34µm
net461,788.32µm
core_X2_q\[8\],787.61µm
net157,787.61µm
net662,781.81µm
net4,780.13µm
core_X2_q\[1\],775.8µm
core_X2_q\[9\],772.44µm
net807,771.83µm
net1633,769.59µm
net1422,769.23µm
_05318_,768.73µm
net5,767.3µm
net1166,765.21µm
core_X2_i\[14\],762.51µm
net1141,762.51µm
core_X2_q\[10\],761.87µm
net1260,761.19µm
net703,760.73µm
_03505_,760.17µm
core_X2_q\[4\],754.74µm
net670,751.9µm
net809,749.4µm
net1153,748.41µm
net6,747.8µm
net140,745.15µm
net1271,741.4µm
_07112_,741.03µm
core_X2_i\[10\],740.85µm
core_X2_q\[14\],739.01µm
net123,737.36µm
net460,737.31µm
net842,737.12µm
net1411,735.07µm
core_X2_q\[6\],731.56µm
net772,731.49µm
net49,730.27µm
net264,729.94µm
net1380,729.37µm
core_X2_i\[13\],728.56µm
core_X2_q\[0\],728.12µm
core_X2_q\[13\],727.59µm
net927,725.34µm
_07111_,724.23µm
u_transform_scheduler_core.bf_X1_q\[11\],722.56µm
net894,721.46µm
_03423_,718.73µm
_06870_,718.68µm
net805,717.86µm
net238,714.56µm
