Metric,Value
timing__setup__ws__corner:max_ss_125C_4v50,-3.29562
timing__hold__tns__corner:max_ss_125C_4v50,0
timing__setup__tns__corner:max_ss_125C_4v50,-1497.03
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-3.29562
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.13248
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,656
timing__setup_r2r__ws__corner:max_ss_125C_4v50,-3.29562
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,641
