_132_,31.46µm
core_dout_i[5],31.06µm
_202_,30.95µm
net11,30.8µm
debug_addr_o[4],30.66µm
debug_rdata_i[4],30.5µm
net54,30.24µm
debug_addr_o[2],30.1µm
dout[3],29.94µm
_072_,29.68µm
_286_,29.68µm
din[2],29.54µm
_126_,29.17µm
_352_,29.17µm
external_fire,29.03µm
top_state_o[0],28.87µm
dout[0],28.82µm
_336_,28.66µm
net105,28.61µm
_333_,28.1µm
_214_,28.05µm
_226_,28µm
_289_,28µm
core_rx_complete,27.86µm
debug_addr_o[0],27.86µm
_306_,27.59µm
_340_,27.54µm
_039_,27.49µm
_123_,27.49µm
_217_,27.49µm
_015_,27.44µm
_042_,27.44µm
_153_,27.44µm
job_head_command[4],27.3µm
debug_rdata_i[3],27.24µm
_339_,26.98µm
_080_,26.93µm
core_tx_complete,26.74µm
standalone_active_o,26.74µm
debug_mode_o,26.63µm
net62,26.42µm
_140_,26.37µm
_348_,26.37µm
input_left\[3\],26.37µm
core_result_ready_o,26.18µm
debug_rdata_i[13],26.12µm
dout[1],26.02µm
dout[5],26.02µm
top_state_o[3],26.02µm
_173_,25.86µm
net80,25.86µm
_234_,25.81µm
input_left\[7\],25.81µm
net13,25.76µm
din[1],25.72µm
top_state_o[4],25.62µm
_082_,25.3µm
_366_,25.3µm
_300_,25.25µm
_199_,24.74µm
net98,24.74µm
_078_,24.69µm
_197_,24.69µm
_227_,24.69µm
debug_read_latch\[8\],24.64µm
debug_read_latch\[1\],24.23µm
echo_data\[4\],24.18µm
_119_,24.13µm
net8,24.13µm
net26,24.08µm
din[5],23.94µm
job_head_command[7],23.94µm
net68,23.62µm
net72,23.62µm
output_left\[6\],23.62µm
_006_,23.57µm
_079_,23.57µm
_223_,23.57µm
net48,23.52µm
job_head_command[6],23.43µm
_155_,23.11µm
net53,23.06µm
_236_,23.01µm
net70,23.01µm
_216_,22.96µm
_246_,22.96µm
echo_data\[0\],22.96µm
din[7],22.87µm
debug_addr_o[3],22.82µm
top_state_o[2],22.71µm
debug_req_o,22.66µm
debug_wdata_o[8],22.66µm
net22,22.45µm
net44,22.45µm
_137_,21.99µm
output_left\[7\],21.94µm
dout[6],21.54µm
_096_,21.43µm
input_left\[1\],21.43µm
_261_,21.33µm
debug_data_hi\[7\],21.33µm
_150_,20.87µm
debug_data_hi\[2\],20.82µm
debug_read_latch\[3\],20.82µm
input_left\[6\],20.77µm
net21,20.72µm
_073_,20.21µm
net52,20.21µm
output_left\[8\],20.21µm
_237_,20.16µm
_243_,20.16µm
_293_,19.7µm
_097_,19.6µm
net69,19.6µm
din[3],19.51µm
debug_addr_o[7],19.51µm
job_head_command[1],19.46µm
core_dout_i[4],19.4µm
dout[4],19.3µm
debug_data_hi\[0\],19.14µm
_087_,19.09µm
net76,19.09µm
_091_,19.04µm
_218_,19.04µm
output_left\[5\],19.04µm
debug_data_hi\[6\],18.58µm
net79,18.58µm
net25,18.53µm
debug_read_latch\[12\],18.53µm
echo_data\[6\],18.53µm
_115_,18.48µm
net93,18.48µm
_000_,17.97µm
_330_,17.97µm
_367_,17.97µm
_129_,17.92µm
net40,17.92µm
ext_state[1],17.83µm
debug_rdata_i[12],17.67µm
_124_,17.46µm
_298_,17.46µm
_122_,17.41µm
_296_,17.41µm
debug_read_latch\[11\],17.41µm
_044_,17.36µm
_102_,17.36µm
debug_addr_o[5],17.22µm
net2,16.95µm
_021_,16.9µm
_056_,16.9µm
_081_,16.9µm
net50,16.9µm
_030_,16.8µm
_117_,16.8µm
debug_addr_o[1],16.66µm
debug_wdata_o[6],16.66µm
debug_wdata_o[13],16.55µm
input_left\[8\],16.34µm
_259_,16.29µm
net66,16.29µm
_157_,16.24µm
