Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_323_1940,VDD,Metal1,1098.2080,1648.8560,4.472726
FILLER_323_1906,VDD,Metal1,1083.7155,1648.9420,4.472724
FILLER_323_1872,VDD,Metal1,1064.6755,1648.9420,4.472724
FILLER_323_1838,VDD,Metal1,1045.6355,1648.9420,4.472724
FILLER_323_1804,VDD,Metal1,1026.5955,1648.9420,4.472723
FILLER_323_1770,VDD,Metal1,1007.5555,1648.9420,4.472723
FILLER_323_1736,VDD,Metal1,988.5155,1648.9420,4.472723
FILLER_323_1702,VDD,Metal1,969.4755,1648.9420,4.472722
FILLER_323_1668,VDD,Metal1,950.4355,1648.9420,4.472722
FILLER_323_1634,VDD,Metal1,931.3955,1648.9420,4.472721
FILLER_323_1600,VDD,Metal1,912.3555,1648.9420,4.472720
FILLER_323_1566,VDD,Metal1,893.3155,1648.9420,4.472719
FILLER_323_1532,VDD,Metal1,874.2755,1648.9420,4.472717
FILLER_323_1498,VDD,Metal1,855.2355,1648.9420,4.472717
FILLER_323_1464,VDD,Metal1,836.1955,1648.9420,4.472713
FILLER_323_1430,VDD,Metal1,817.1555,1648.9420,4.472713
FILLER_323_1427,VDD,Metal1,806.1200,1648.0800,4.472706
FILLER_323_1425,VDD,Metal1,805.2800,1648.0800,4.472706
FILLER_323_1421,VDD,Metal1,803.9800,1648.5650,4.472705
FILLER_323_1413,VDD,Metal1,800.7465,1648.7265,4.472705
FILLER_323_1396,VDD,Metal1,789.9800,1648.5650,4.472554
FILLER_323_1390,VDD,Metal1,786.6200,1648.5650,4.472549
FILLER_323_1370,VDD,Metal1,774.2000,1648.0800,4.472531
FILLER_323_1362,VDD,Metal1,772.1865,1648.7265,4.472529
FILLER_323_1359,VDD,Metal1,768.0400,1648.0800,4.472513
FILLER_323_1357,VDD,Metal1,767.2000,1648.0800,4.472513
FILLER_323_1353,VDD,Metal1,765.9000,1648.5650,4.472513
FILLER_323_1345,VDD,Metal1,762.6665,1648.7265,4.472510
FILLER_323_1328,VDD,Metal1,751.9000,1648.5650,4.472483
FILLER_323_1325,VDD,Metal1,749.0000,1648.0800,4.472483
FILLER_323_1323,VDD,Metal1,748.1600,1648.0800,4.472483
FILLER_323_1319,VDD,Metal1,746.8600,1648.5650,4.472483
