test,sample,reference_real,reference_imag,rtl_real,rtl_imag
2,51,-0.0118309698479,-0.0107530354048,-0.015625,-0.015625
2,52,-0.00232380992065,-0.0158176965899,-0.0078125,-0.0234375
2,53,0.00823831112729,-0.0137014542195,0.0078125,-0.015625
2,54,0.0150604111596,-0.00536503808591,0.0078125,-0.0078125
2,55,0.0150453993893,0.00540699317326,0.0078125,0
2,56,0.00820009084628,0.0137243625743,0.0078125,0.0078125
2,57,-0.00236788750386,0.0158111582981,-0.0078125,0.015625
2,58,-0.011860894432,0.0107200187141,-0.015625,0.0078125
2,59,-0.0159693032605,0.000762214754381,-0.0234375,0
2,60,-0.0128279822746,-0.0095416187684,-0.015625,-0.015625
2,61,-0.00386302552707,-0.0155137568543,-0.0078125,-0.015625
2,62,0.0068556640465,-0.0144429736703,0,-0.015625
2,63,0.0144620254724,-0.00681538239516,0.0078125,-0.0078125
3,0,0.1474609375,0.0906982421875,0.140625,0.0859375
3,1,0.0374664595397,-0.0416762898957,0.03125,-0.046875
3,2,-0.105939622903,-0.0374564144791,-0.109375,-0.0390625
3,3,-0.14373402988,-0.010410528223,-0.1484375,-0.015625
3,4,0.122522735211,0.040234568877,0.1171875,0.0390625
3,5,-0.000778424225352,-0.0369699339441,-0.0078125,-0.0390625
3,6,-0.0729124046349,-0.0373466232961,-0.078125,-0.0390625
3,7,0.0563613138701,-0.0360689954335,0.0546875,-0.0390625
3,8,0.16033349841,0.0182690201224,0.15625,0.015625
3,9,-0.00505513659029,0.060179234939,-0.0078125,0.0546875
3,10,0.06726476341,-0.000460123801002,0.0625,-0.0078125
3,11,0.0702464810954,-0.0100188587502,0.0703125,-0.015625
3,12,0.0528404078126,-0.00529535325613,0.046875,-0.0078125
3,13,-0.0127223196808,-0.0400338076956,-0.015625,-0.046875
3,14,0.0787142237786,-0.0608070375122,0.078125,-0.0625
3,15,-0.102860531489,-0.0489348386801,-0.109375,-0.0546875
3,16,0.06201171875,0.0267333984375,0.0546875,0.0234375
3,17,0.00297651951146,0.122766940727,0,0.1171875
3,18,0.064056844052,0.0715407164937,0.0625,0.0703125
3,19,0.0285960184497,0.0984582167304,0.0234375,0.09375
3,20,-0.0805167670476,0.082211869844,-0.0859375,0.078125
3,21,0.0510184736694,-0.0539796810665,0.046875,-0.0546875
3,22,0.015902953023,0.0844814125262,0.015625,0.078125
3,23,-0.0259198638663,-0.123298769311,-0.03125,-0.125
3,24,0.0279432155388,0.0970237214181,0.0234375,0.09375
3,25,-0.0696225767115,0.0575366887897,-0.0703125,0.0546875
3,26,0.0631377880459,0.0670061762705,0.0625,0.0625
3,27,0.107874155324,-0.104738948189,0.1015625,-0.109375
3,28,0.00630817042488,-0.0724863031168,0,-0.078125
3,29,-0.120503103526,0.0529753881237,-0.125,0.046875
3,30,-0.0817064213926,-0.0150251379661,-0.0859375,-0.015625
3,31,0.0323369863071,-0.00149261975183,0.03125,-0.0078125
3,32,-0.066650390625,0.0352783203125,-0.0703125,0.03125
3,33,0.0166142988006,0.0861833094737,0.015625,0.0859375
3,34,0.120275669797,-0.070615762719,0.1171875,-0.078125
3,35,0.0300595335081,-0.000923631354355,0.0234375,-0.0078125
3,36,0.111531834367,-0.0341860817541,0.109375,-0.0390625
3,37,-0.0311365887651,0.0400626519858,-0.03125,0.0390625
3,38,0.0312457054243,0.0282044761437,0.0234375,0.0234375
3,39,-0.0548870541753,-0.0704468965334,-0.0625,-0.078125
