net,length_um
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[7\],811.88µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[2\],809.25µm
u_transform_scheduler_core.tx_mapper_source_addr\[3\],807.87µm
net52,806.29µm
net152,806.24µm
net184,805.98µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[0\],805.38µm
net118,803.61µm
_04967_,802.27µm
u_transform_scheduler_core.tx_mapper_source_addr\[0\],801.81µm
_07207_,800.33µm
net22,798.55µm
net185,796.21µm
u_transform_scheduler_core.bf_X1_i\[12\],795.6µm
net36,793.41µm
net89,793.05µm
_05673_,792.65µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[5\],792.6µm
net181,790.66µm
net140,788.37µm
_05906_,786.44µm
_06558_,786.28µm
u_transform_scheduler_core.bf_X1_i\[0\],782.87µm
_02626_,782.27µm
net195,780.99µm
_02848_,777.48µm
net156,776.66µm
_04489_,775.54µm
net28,773.81µm
net160,773.81µm
_05680_,772.74µm
_04646_,771.77µm
_04488_,771.17µm
net39,770.96µm
u_transform_scheduler_core.fft128_done,770.76µm
net30,770.45µm
_02630_,770.42µm
net47,769.74µm
net49,767.75µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[4\],765.6µm
u_transform_scheduler_core.fft128_ofdm_active,764.88µm
net27,757.11µm
_04218_,756.95µm
_03921_,754.79µm
net34,752.28µm
net68,749.12µm
net131,746.88µm
net134,746.47µm
net153,745.91µm
_04716_,744.64µm
_08457_,739.35µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[6\],738.82µm
net91,738.07µm
u_transform_scheduler_core.bf_X1_i\[13\],736.44µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[3\],734.98µm
serializer_busy,731.76µm
_04492_,731µm
_06124_,725.45µm
net45,724.94µm
u_transform_scheduler_core.bf_X1_q\[2\],724.85µm
_04396_,723.41µm
u_transform_scheduler_core.bf_X1_i\[5\],723.26µm
net85,722.29µm
_03878_,721.89µm
net79,721.12µm
net72,715.16µm
_05693_,714.2µm
_02629_,713.33µm
net23,712.51µm
net197,710.88µm
_02886_,708.95µm
net150,707.68µm
_08388_,705.85µm
net20,705.45µm
u_transform_scheduler_core.bf_X0_q\[8\],704.93µm
_06559_,703.15µm
_06298_,702.9µm
net215,702.69µm
net196,702.23µm
net24,700.91µm
net135,699.35µm
_06280_,699.04µm
net122,697.555µm
u_transform_scheduler_core.bf_X1_i\[4\],696.99µm
net90,694.8µm
net139,691.69µm
_06364_,691.65µm
_06638_,689.41µm
_08346_,689µm
_04984_,688.91µm
_04539_,688.9µm
net33,688.08µm
net73,686.65µm
_08494_,682.33µm
net92,678.62µm
core_X2_q\[7\],678.41µm
_06138_,677.24µm
u_transform_scheduler_core.bf_X0_q\[14\],676.63µm
net125,670.95µm
_08424_,669.96µm
_05000_,667.25µm
_06123_,667.24µm
_06241_,663.34µm
_04223_,660.84µm
core_X2_q\[8\],660.34µm
net58,660.34µm
net75,659.98µm
_06663_,658.97µm
net214,658.81µm
net29,657.79µm
net50,656.67µm
net170,656.62µm
u_transform_scheduler_core.ofdm_fft_block_ready,656.37µm
u_transform_scheduler_core.tx_mapper_busy,654.17µm
net110,653.65µm
core_X2_q\[12\],653.11µm
u_transform_scheduler_core.bf_X0_q\[6\],651.07µm
_02791_,650.1µm
net41,647.51µm
net57,647µm
_07042_,646.24µm
_06595_,645.12µm
_06827_,644.61µm
_07035_,644µm
_07028_,643.49µm
_02534_,642.62µm
net70,641.6µm
u_transform_scheduler_core.bf_X1_i\[1\],641.09µm
_06911_,641.06µm
_02432_,637.58µm
net25,637.48µm
_02773_,637.27µm
net151,636.97µm
_06387_,636.87µm
net191,636.66µm
core_X2_i\[3\],635.55µm
_02904_,634.86µm
net43,634.83µm
_06906_,632.78µm
u_transform_scheduler_core.bf_X0_q\[7\],630.2µm
net208,629.58µm
u_transform_scheduler_core.tx_mapper_source_addr\[1\],629.08µm
_06969_,628.5µm
_04497_,626.89µm
_06475_,625.7µm
_04490_,623.02µm
_03803_,622.97µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_gwen,622.53µm
_07014_,622.21µm
_06573_,620.58µm
_03796_,619.66µm
net26,619.1µm
_02790_,618.74µm
net186,617.01µm
net192,616.91µm
_08139_,616.15µm
net200,614.52µm
core_X2_i\[0\],614.06µm
_02770_,614.01µm
_04617_,613.9µm
_02983_,613.86µm
_05918_,612.64µm
_06932_,612.64µm
_03226_,610.44µm
_06942_,609.28µm
net71,609.12µm
_04273_,608.77µm
net74,608.05µm
_03897_,607.75µm
net171,607.29µm
_02723_,607.09µm
_06684_,606.48µm
core_X2_q\[9\],605.41µm
_04985_,603.57µm
_02627_,603.37µm
_04943_,602.65µm
_02631_,601.89µm
net44,601.28µm
_04624_,600.72µm
_02515_,599.7µm
u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_pending,599.09µm
net86,598.89µm
_08266_,595.48µm
_06725_,594.81µm
net162,594.76µm
_08198_,592.07µm
_02514_,591.86µm
net141,591.81µm
_05677_,591.05µm
net42,590.95µm
_08230_,588.35µm
_05743_,587.89µm
_07094_,587.6µm
_05730_,587.59µm
_06749_,587.54µm
net67,587.03µm
net194,586.92µm
_08515_,586.77µm
_06322_,585.2µm
_05957_,583.72µm
_06892_,580.17µm
_05969_,580.16µm
_07007_,579.58µm
net211,578.83µm
core_X2_q\[11\],577.05µm
_04493_,576.9µm
u_transform_scheduler_core.ofdm_mem_req,575.21µm
net124,573.89µm
net116,572.46µm
net66,571.7µm
_07209_,569.46µm
_06121_,568.8µm
u_transform_scheduler_core.bf_X0_q\[13\],568.6µm
u_transform_scheduler_core.rx_small_radix3,568.57µm
_07059_,567.43µm
_02722_,567.04µm
net96,564.78µm
net9,562.08µm
_04952_,561.42µm
_03736_,560.56µm
_05788_,560.37µm
net190,559.94µm
_04297_,559.64µm
u_transform_scheduler_core.dft12_active,557.55µm
u_transform_scheduler_core.bf_X0_q\[15\],556.94µm
_08597_,556.07µm
_07066_,552.82µm
_05931_,552.72µm
_02529_,552µm
net40,551.95µm
net84,550.22µm
net136,549.76µm
_02868_,547.17µm
_04645_,546.81µm
_04523_,546.66µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[1\],545.6µm
_05982_,544.37µm
_05683_,543.5µm
u_transform_scheduler_core.bf_X0_q\[12\],543.5µm
net123,542.33µm
_08309_,542.28µm
_06116_,541.26µm
_07481_,539.02µm
_08152_,539.02µm
_04076_,538.92µm
_08172_,537.75µm
_06069_,537.6µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[4\],535.65µm
_04937_,535.51µm
net97,534.33µm
_02578_,532.3µm
_02721_,532.3µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[6\],529.73µm
_04982_,529.6µm
_05491_,529.36µm
_06344_,529.3µm
_04454_,527.82µm
core_X2_i\[6\],527.57µm
_04295_,527.51µm
_05160_,526.45µm
_04498_,526.24µm
_08596_,526.19µm
_05555_,524.46µm
u_transform_scheduler_core.bf_X0_i\[15\],521.41µm
_06764_,521.36µm
u_transform_scheduler_core.dft12_base\[3\],520.97µm
_06881_,520.24µm
_06955_,520.05µm
net59,519.82µm
_04953_,519.27µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[0\],519.27µm
net159,518.4µm
u_transform_scheduler_core.tx_output_busy,518.245µm
net179,518.15µm
_05420_,518.05µm
_07073_,515.38µm
net149,515.09µm
_04947_,514.38µm
_05703_,514.08µm
_06430_,514.08µm
_07049_,511.14µm
core_X2_q\[3\],510.41µm
_04988_,510.28µm
_05399_,509.75µm
net100,509.34µm
_06918_,508.68µm
u_transform_scheduler_core.fft128_inverse_active,508.58µm
_02720_,507.46µm
_05465_,507.41µm
_02956_,505.77µm
_04946_,504.2µm
_06405_,504.05µm
_06020_,504µm
core_X2_q\[15\],502.42µm
_06008_,500.95µm
_06962_,500.79µm
_05512_,498.55µm
net35,498.04µm
core_X2_q\[0\],497.46µm
_06109_,496.66µm
net99,496µm
net19,495.6µm
_04874_,494.48µm
_05854_,493.78µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[2\],493µm
net87,493µm
core_X2_i\[2\],492.99µm
standalone_active,491.78µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[2\],491.78µm
top_state\[0\],490.58µm
_04520_,488.98µm
net199,487.29µm
core_X2_i\[11\],486.94µm
_05001_,485.82µm
core_X2_q\[13\],485.21µm
u_transform_scheduler_core.fifo_x1_q\[0\]\[10\],485.21µm
_06110_,482.1µm
_04968_,480.07µm
net12,479.97µm
_08595_,479.46µm
_04809_,478.62µm
_04735_,477.96µm
_02598_,476.91µm
_04939_,476.56µm
_05686_,475.97µm
_04294_,475.74µm
_06948_,475.49µm
_04383_,475.35µm
_06925_,474.65µm
net112,474.16µm
_03651_,473.7µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_req,473.35µm
_06452_,473.3µm
_04796_,472.84µm
_02957_,472.28µm
_06494_,472.08µm
u_transform_scheduler_core.bf_X0_q\[9\],471.62µm
_06260_,471.11µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[3\],471.06µm
_04849_,470.96µm
_05107_,470.45µm
_03505_,469.28µm
_08496_,467.85µm
_02962_,467.34µm
_06615_,466.48µm
_04302_,466.27µm
_05386_,465.97µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_gwen,465.83µm
_04670_,465.6µm
_06976_,465.41µm
_05359_,465.36µm
_04377_,464.54µm
_06703_,464.39µm
_02967_,463.83µm
_05309_,463.83µm
_03486_,463.17µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[1\],462.15µm
net61,461.79µm
u_transform_scheduler_core.bf_X0_q\[3\],461.69µm
_04337_,461.54µm
_07021_,460.75µm
_01987_,459.64µm
_04999_,459.6µm
net13,457.11µm
net165,456.55µm
net10,456.4µm
_06033_,456.34µm
_08600_,456.09µm
core_X2_q\[10\],455.94µm
_05529_,455.36µm
clknet_leaf_85_clk_regs,454.96µm
_07115_,454.86µm
_03883_,454.77µm
_04154_,453.46µm
_04997_,453.33µm
_05803_,453.04µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[5\],452.68µm
_06551_,452.58µm
_05055_,452.48µm
clknet_leaf_26_clk_regs,452.12µm
_04364_,451.05µm
net98,449.77µm
_03445_,449.17µm
_05375_,449.17µm
u_transform_scheduler_core.fifo_x1_q\[0\]\[8\],449.17µm
_04216_,448.84µm
u_transform_scheduler_core.bf_out_valid,447.59µm
_04917_,447.44µm
_05682_,447.19µm
_04439_,447.03µm
net121,446.06µm
clknet_leaf_80_clk_regs,445.67µm
_03525_,444.74µm
_02809_,444.13µm
delaynet_1_core_clk,443.62µm
clknet_leaf_65_clk_regs,442.9µm
_04495_,442.6µm
_04210_,440.97µm
_06787_,440.82µm
_05995_,439.8µm
_08590_,439.65µm
net15,439.6µm
net16,439.6µm
clknet_leaf_18_clk_regs,439.54µm
_04672_,439.34µm
_06997_,439.04µm
_05754_,437.56µm
net14,437.51µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[6\],436.95µm
clknet_leaf_39_clk_regs,436.33µm
_04437_,436.03µm
_03388_,435.73µm
_04534_,435.68µm
_02480_,435.32µm
_04801_,435.17µm
clknet_leaf_61_clk_regs,433.99µm
u_transform_scheduler_core.u_fft_scratch_sram.state\[0\],433.59µm
clknet_leaf_12_clk_regs,433.58µm
_05334_,433.49µm
_03428_,433.03µm
_02579_,431.04µm
_02916_,430.33µm
_02937_,429.77µm
clknet_leaf_28_clk_regs,429.66µm
_07080_,428.26µm
clknet_leaf_79_clk_regs,428.14µm
_05028_,427.89µm
_08547_,427.48µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[8\],427.43µm
_04676_,426.71µm
_08130_,426.36µm
_06983_,426.16µm
_02255_,426µm
u_transform_scheduler_core.bf_X0_q\[5\],425.24µm
core_X2_q\[1\],425.09µm
core_X2_q\[5\],424.22µm
_06990_,423.92µm
clknet_leaf_32_clk_regs,422.89µm
net88,422.63µm
_04287_,422.54µm
_05770_,422.34µm
_06105_,422.05µm
_03544_,421.73µm
_06838_,421.12µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[11\],419.54µm
_05944_,419.49µm
u_transform_scheduler_core.u_fft_scratch_sram.rv_hi,419.49µm
clknet_leaf_53_clk_regs,419.02µm
_05396_,418.93µm
_05417_,418.88µm
_04675_,418.82µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[8\],418.67µm
_04394_,418.37µm
_04677_,418.31µm
_02450_,418.01µm
_04499_,417.485µm
_05004_,417.25µm
_02553_,416.94µm
_04292_,416.53µm
_05128_,416.48µm
_02972_,416.33µm
net76,415.87µm
u_transform_scheduler_core.mod_diag_X1_q\[9\],415.72µm
u_transform_scheduler_core.bf_X0_i\[3\],415.21µm
