u_core.u_transform_scheduler_core.bf_out_valid,1.13266mm
_03685_,1.13261mm
dout_OUT[3],1.12051mm
_02586_,1.12024mm
_04511_,1.1066mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[3\],1.09196mm
_05864_,1.09179mm
clknet_3_3__leaf_clk_regs,1.08939mm
dout_OUT[1],1.0891mm
_06489_,1.08888mm
net,1.08644mm
dout_OUT[2],1.08147mm
_04492_,1.07937mm
u_core.u_transform_scheduler_core.bf_X1_q\[3\],1.07333mm
dout_OUT[0],1.06979mm
dout_OUT[5],1.06859mm
_08307_,1.06654mm
_07187_,1.06623mm
_02403_,1.06241mm
dout_OUT[4],1.05931mm
net26,1.0588mm
net23,1.05552mm
_04391_,1.04236mm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[2\],1.03243mm
net45,1.0271mm
u_core.u_transform_scheduler_core.bf_X1_i\[3\],1.00565mm
_04590_,1.00321mm
u_core.u_transform_scheduler_core.bf_X1_q\[2\],1.00228mm
_04950_,997.3µm
u_core.u_transform_scheduler_core.bf_X1_i\[12\],993.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[4\],993.13µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[0\],993.1µm
clknet_3_4__leaf_clk_regs,982.08µm
_04460_,981.56µm
u_core.u_transform_scheduler_core.tx_mapper_busy,980.74µm
_04938_,974.04µm
net15,973.22µm
_02780_,969.46µm
clknet_0_clk_regs,968.64µm
_06377_,966.345µm
_08777_,965.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[5\],965.48µm
_08401_,965.29µm
u_core.u_transform_scheduler_core.bf_X1_i\[11\],963.09µm
_04947_,960.8µm
u_core.u_transform_scheduler_core.bf_X1_q\[4\],960.04µm
u_core.u_transform_scheduler_core.bf_X1_i\[14\],958.97µm
_08299_,958.87µm
_04500_,956.98µm
_08294_,956.27µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[3\],955.61µm
_04801_,954.79µm
_02209_,950.57µm
_05977_,948.28µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],946.28µm
clk,938.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[6\],937.79µm
u_core.u_transform_scheduler_core.bf_X1_q\[5\],935.7µm
u_core.u_transform_scheduler_core.bf_X1_i\[6\],932.95µm
u_core.u_transform_scheduler_core.bf_X1_q\[1\],926.29µm
_08368_,920.13µm
_04303_,918.5µm
_08437_,913.66µm
u_core.u_transform_scheduler_core.bf_X1_i\[1\],907.55µm
_04962_,905.66µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_pending,904.85µm
_04864_,903.1µm
din_ready_o_OUT,901.8µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[2\],899.67µm
net52,899.66µm
_08343_,899µm
_02580_,898.69µm
_08323_,897.88µm
u_core.u_transform_scheduler_core.bf_X1_i\[2\],893.7µm
_08778_,890.9µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.slot_phase\[0\],890.7µm
_00039_,882.71µm
_04170_,879.96µm
_08480_,877.01µm
net32,874.61µm
u_core.u_transform_scheduler_core.bf_X1_q\[14\],870.13µm
u_core.u_transform_scheduler_core.bf_X1_i\[8\],870.08µm
u_core.u_transform_scheduler_core.bf_X1_i\[4\],867.54µm
_08779_,864.38µm
clknet_3_6__leaf_clk_regs,863.97µm
net10,859.93µm
u_core.u_transform_scheduler_core.fifo_radix3\[0\]\[0\],848.99µm
net12,848.8µm
dout_valid_o_OUT,848.68µm
u_core.u_transform_scheduler_core.rx_small_radix3,841.37µm
_04351_,838.52µm
net21,838.34µm
u_core.u_transform_scheduler_core.bf_X1_i\[10\],833.47µm
_04646_,833.22µm
_07291_,833.07µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_stage_valid,830.7µm
u_core.u_transform_scheduler_core.bf_X1_q\[10\],829.66µm
_02602_,818.46µm
net34,814.03µm
_08517_,806.75µm
u_core.u_transform_scheduler_core.bf_X0_q\[1\],805.99µm
_04387_,804.97µm
_02704_,803.49µm
_02604_,803.1µm
_08558_,802.02µm
_05360_,800.18µm
_03032_,798.44µm
u_core.core_X2_i\[10\],796.21µm
u_core.u_transform_scheduler_core.bf_X0_q\[6\],794.18µm
u_core.u_transform_scheduler_core.bf_X0_q\[0\],788.02µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_operands_valid,782.47µm
_06488_,781.07µm
_08629_,778.14µm
u_core.core_X2_q\[4\],774.41µm
_02585_,772.49µm
u_core.u_transform_scheduler_core.bf_X1_q\[7\],771.47µm
_04315_,770.96µm
_08595_,770.25µm
u_core.u_transform_scheduler_core.bf_X1_i\[13\],768.77µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_re_reg\[0\],767.86µm
u_core.u_transform_scheduler_core.bf_X1_q\[8\],767.6µm
_08666_,766.79µm
_04399_,766.54µm
_08780_,764.34µm
u_core.u_transform_scheduler_core.bf_X0_q\[4\],763.89µm
_04752_,756.04µm
_06421_,753.4µm
u_core.u_transform_scheduler_core.bf_X0_i\[1\],750.5µm
u_core.u_transform_scheduler_core.bf_X0_i\[15\],744.63µm
u_core.core_X2_q\[6\],744.24µm
_03959_,742.56µm
_02514_,739.91µm
u_core.core_X2_q\[2\],738.94µm
_04497_,734.51µm
din_valid_i,732.29µm
u_core.u_transform_scheduler_core.bf_X0_q\[2\],728.2µm
_04753_,727.63µm
_08781_,724.33µm
u_core.serializer_busy,720µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[0\],719.09µm
_04433_,718.67µm
_04348_,718.58µm
u_core.u_transform_scheduler_core.bf_X0_q\[5\],716.59µm
u_core.u_transform_scheduler_core.bf_X1_i\[5\],715.98µm
_03905_,714.56µm
_03851_,714.25µm
_04724_,712.37µm
din[7],711.58µm
u_core.u_transform_scheduler_core.bf_X0_i\[0\],708.45µm
_08671_,707.48µm
u_core.u_transform_scheduler_core.bf_X0_i\[6\],705.25µm
_03316_,704.93µm
net25,704.07µm
u_core.u_transform_scheduler_core.bf_X1_q\[12\],702.39µm
_05354_,700.6µm
u_core.core_X2_q\[3\],699.28µm
_02779_,699.08µm
_07347_,699.03µm
_03991_,696.58µm
_04591_,696.48µm
u_core.u_transform_scheduler_core.bf_X1_q\[11\],693.07µm
_08219_,692.21µm
_04593_,689.97µm
_04432_,689.9µm
_02651_,688.49µm
_02563_,688.39µm
net29,687.37µm
u_core.core_X2_q\[1\],686.48µm
_04794_,681.57µm
_04380_,679.89µm
u_core.u_transform_scheduler_core.bf_X0_i\[2\],679.48µm
u_core.core_X2_q\[0\],674.43µm
u_core.u_transform_scheduler_core.bf_X0_i\[8\],674.34µm
_06777_,671.64µm
_04756_,667.26µm
_04331_,665.38µm
_08233_,663.7µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[1\],663.04µm
_04961_,663.01µm
u_core.u_transform_scheduler_core.fft128_done,659.92µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_twiddle_im_reg\[0\],656.98µm
_08200_,656.93µm
u_core.u_transform_scheduler_core.bf_X0_i\[4\],656.93µm
u_core.u_transform_scheduler_core.dft12_base\[2\],655.56µm
u_core.u_transform_scheduler_core.bf_X1_q\[9\],654.71µm
u_core.u_transform_scheduler_core.rx_state\[13\],651.89µm
_04327_,651.83µm
