_05064_,62.72µm
_06558_,62.72µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[13\],62.72µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[4\],62.36µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[8\],62.31µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_i_ext\[10\],62.31µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[15\],62.31µm
_05852_,62.26µm
_08453_,62.26µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[11\],62.26µm
_03411_,62.21µm
_05956_,62.21µm
_07870_,62.21µm
_08700_,62.21µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.held_i\[10\],62.21µm
_02027_,62.16µm
_07465_,62.16µm
_07835_,62.16µm
_08948_,62.16µm
u_core.u_transform_scheduler_core.dft12_ram_i\[5\]\[7\],62.16µm
u_core.u_transform_scheduler_core.dft12_ram_q\[5\]\[4\],61.85µm
u_core.u_transform_scheduler_core.dft12_ram_i\[8\]\[5\],61.75µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[14\],61.75µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.requests_left\[0\],61.75µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[5\],61.7µm
_04295_,61.65µm
_04798_,61.65µm
_06248_,61.65µm
_00423_,61.6µm
_05502_,61.6µm
_07643_,61.6µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[3\],61.24µm
_09098_,61.19µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[0\],61.19µm
_05722_,61.14µm
_07227_,61.14µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[7\],61.14µm
u_core.u_transform_scheduler_core.dft12_ram_q\[5\]\[8\],61.14µm
_05683_,61.09µm
_07124_,61.09µm
_07489_,61.09µm
_08153_,61.09µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[13\],61.09µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[12\],61.09µm
_06357_,61.04µm
_07365_,61.04µm
u_core.u_transform_scheduler_core.dft12_ram_i\[2\]\[4\],60.68µm
u_core.u_transform_scheduler_core.dft12_ram_i\[8\]\[7\],60.68µm
u_core.u_transform_scheduler_core.small_sent_twiddle_re,60.68µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[1\],60.63µm
_04650_,60.58µm
_07102_,60.58µm
_08149_,60.58µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[4\],60.58µm
_04955_,60.53µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_i_ext\[8\],60.53µm
_04807_,60.48µm
_04890_,60.48µm
_06099_,60.48µm
_06355_,60.48µm
_06459_,60.48µm
_06861_,60.48µm
_06876_,60.48µm
_09056_,60.48µm
_08157_,60.12µm
_04257_,60.07µm
_07895_,60.02µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[7\],60.02µm
u_core.u_transform_scheduler_core.dft12_ram_i\[5\]\[5\],60.02µm
u_core.u_transform_scheduler_core.dft12_ram_q\[1\]\[8\],60.02µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_group\[2\],60.02µm
_04427_,59.97µm
_06114_,59.97µm
_04562_,59.92µm
_06287_,59.92µm
_07389_,59.92µm
_08046_,59.92µm
u_core.u_transform_scheduler_core.dft12_phase_onehot\[1\],59.92µm
u_core.u_transform_scheduler_core.mod_x1_i\[0\],59.84µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_group\[2\],59.51µm
_04368_,59.46µm
_07518_,59.46µm
_08019_,59.46µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[5\],59.46µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[0\],59.46µm
_05159_,59.36µm
_08953_,59.36µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[2\],59.36µm
_04047_,58.95µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_group\[6\],58.95µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_q_ext\[2\],58.95µm
_04081_,58.9µm
_04496_,58.9µm
_05501_,58.9µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[4\],58.9µm
u_core.u_transform_scheduler_core.dft12_state\[3\],58.85µm
_05600_,58.8µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[6\],58.8µm
u_core.u_transform_scheduler_core.dft12_ram_q\[2\]\[0\],58.54µm
u_core.u_transform_scheduler_core.dft12_ram_i\[1\]\[14\],58.44µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_full,58.44µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[12\],58.39µm
_07934_,58.34µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[10\],58.34µm
_03687_,58.29µm
_04977_,58.29µm
_07390_,58.29µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[8\],58.29µm
_05024_,58.24µm
_05267_,58.24µm
_07913_,58.24µm
_08885_,58.24µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_q_reg\[14\],58.24µm
_04394_,58.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_q_ext\[0\],57.83µm
_05012_,57.78µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[14\],57.78µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[7\],57.78µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[21\],57.78µm
_02116_,57.73µm
_04965_,57.73µm
_05749_,57.73µm
_07191_,57.73µm
_07527_,57.73µm
u_core.u_transform_scheduler_core.fifo_x1_q\[0\]\[6\],57.73µm
u_core.u_transform_scheduler_core.fifo_x0_i\[0\]\[3\],57.68µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[10\],57.4µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[13\],57.27µm
u_core.u_transform_scheduler_core.dft12_ram_q\[1\]\[5\],57.27µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[4\],57.27µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[1\],57.27µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_group\[4\],57.27µm
u_core.u_serializer.byte_index\[0\],57.22µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[6\],57.22µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.read_return_count\[1\],57.22µm
_02039_,57.17µm
_04862_,57.17µm
_06407_,57.17µm
_03399_,57.12µm
_03595_,57.12µm
_03891_,57.12µm
_05262_,57.12µm
_06695_,57.12µm
_08351_,57.12µm
_04711_,56.71µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[15\],56.71µm
_08177_,56.66µm
u_core.u_transform_scheduler_core.dft12_ram_i\[5\]\[6\],56.66µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.final_sample_pending,56.66µm
_02122_,56.61µm
_03322_,56.61µm
_06434_,56.61µm
_07740_,56.61µm
_08314_,56.61µm
u_core.u_transform_scheduler_core.small_sent_uop,56.61µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[5\],56.61µm
_03551_,56.56µm
_03571_,56.56µm
_03814_,56.56µm
_05482_,56.56µm
_07360_,56.56µm
_09061_,56.56µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[6\],56.56µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[2\],56.56µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[13\],56.55µm
_07363_,56.1µm
u_core.u_transform_scheduler_core.dft12_ram_q\[2\]\[8\],56.1µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[9\],56.1µm
_04052_,56.05µm
_07001_,56.05µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[14\],56.05µm
_03702_,56µm
_06311_,56µm
_08280_,56µm
_08951_,56µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[1\],55.91µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_addr\[0\],55.91µm
u_core.u_transform_scheduler_core.result_meta_read_pointer\[0\],55.74µm
_05782_,55.59µm
u_core.u_transform_scheduler_core.mod_diag_X0_q\[13\],55.59µm
_05304_,55.54µm
_08509_,55.54µm
u_core.u_transform_scheduler_core.mod_diag_X1_q\[15\],55.54µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[7\],55.54µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.useful_sample_index\[4\],55.54µm
_02003_,55.49µm
_04180_,55.49µm
_04587_,55.49µm
_05810_,55.49µm
u_core.u_transform_scheduler_core.dft12_ram_i\[8\]\[8\],55.49µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[5\],55.49µm
_04896_,55.44µm
_05522_,55.44µm
_05591_,55.44µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[3\],55.44µm
_03834_,54.98µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[10\],54.98µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[4\],54.98µm
_06340_,54.93µm
_08469_,54.93µm
u_core.input_left\[4\],54.93µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[1\],54.93µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[2\],54.93µm
u_core.u_transform_scheduler_core.u_subcarrier_mapper.clear_index\[0\],54.93µm
_04889_,54.88µm
_07866_,54.88µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[5\],54.74µm
u_core.u_transform_scheduler_core.dft12_ram_i\[2\]\[3\],54.57µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[11\],54.57µm
u_core.u_transform_scheduler_core.dft12_ram_i\[1\]\[7\],54.52µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[10\],54.47µm
_05654_,54.42µm
_05674_,54.42µm
_05763_,54.37µm
_06065_,54.37µm
_06662_,54.37µm
_06924_,54.37µm
_07201_,54.37µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[11\],54.37µm
_05373_,54.32µm
_06903_,54.32µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[13\],54.32µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[12\],53.91µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[9\],53.91µm
_02334_,53.86µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_uop_reg\[0\],53.86µm
_02146_,53.81µm
_06049_,53.81µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[9\],53.81µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[10\],53.81µm
_04079_,53.76µm
_06727_,53.76µm
_07601_,53.76µm
_07774_,53.76µm
_08024_,53.76µm
_08717_,53.76µm
_07942_,53.4µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[4\],53.4µm
u_core.u_transform_scheduler_core.dft12_ram_q\[2\]\[11\],53.4µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[11\],53.4µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[10\],53.4µm
u_core.u_transform_scheduler_core.result_meta_read_pointer\[1\],53.4µm
_04507_,53.35µm
_08315_,53.35µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[2\],53.35µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[4\],53.35µm
_02234_,53.3µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.result_group\[1\],53.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[11\],53.3µm
_05788_,53.25µm
_06557_,53.25µm
_08929_,53.25µm
u_core.echo_data\[2\],53.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[10\],53.25µm
_03030_,53.2µm
u_core.u_transform_scheduler_core.dft12_sent_x1_q,53.2µm
u_core.u_transform_scheduler_core.dft12_ram_i\[1\]\[5\],52.79µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[4\],52.79µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[5\],52.79µm
u_core.u_transform_scheduler_core.ofdm_capture_busy,52.79µm
_02423_,52.74µm
_09020_,52.74µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[11\],52.74µm
_04687_,52.69µm
_05245_,52.69µm
_06427_,52.69µm
_06646_,52.69µm
u_core.u_transform_scheduler_core.dft12_ram_i\[1\]\[2\],52.69µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[15\],52.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[9\],52.69µm
_03795_,52.64µm
_05348_,52.64µm
_05405_,52.64µm
_06640_,52.64µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[2\],52.64µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.multiply_phase\[0\],52.51µm
_06438_,52.28µm
_07688_,52.28µm
_07801_,52.23µm
u_core.u_transform_scheduler_core.dft12_ram_i\[2\]\[8\],52.23µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[6\],52.23µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[10\],52.23µm
_04539_,52.18µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.read_return_count\[0\],52.18µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[4\],52.18µm
u_core.u_transform_scheduler_core.u_subcarrier_mapper.clear_index\[5\],52.18µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[11\],52.13µm
_03539_,52.08µm
_04462_,52.08µm
_05323_,52.08µm
_05467_,52.08µm
_06035_,52.08µm
_06549_,52.08µm
u_core.u_transform_scheduler_core.mod_diag_X0_q\[7\],52.08µm
_04232_,51.72µm
u_core.u_transform_scheduler_core.dft12_ram_i\[5\]\[2\],51.72µm
u_core.u_transform_scheduler_core.u_fdiq_input_adapter.input_sample_index\[1\],51.72µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[11\],51.67µm
u_core.u_transform_scheduler_core.dft12_ram_q\[0\]\[14\],51.67µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[19\],51.67µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_q_ext\[15\],51.67µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[8\],51.62µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[13\],51.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_i_ext\[1\],51.62µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.requests_left\[5\],51.62µm
_04466_,51.57µm
_05673_,51.57µm
_07997_,51.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[10\],51.57µm
_02618_,51.52µm
_04731_,51.52µm
_07442_,51.52µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[9\],51.52µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_re_full,51.49µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_addr\[2\],51.43µm
_04457_,51.16µm
u_core.input_left\[2\],51.16µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[1\],51.11µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_ext\[10\],51.11µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[6\],51.06µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[2\],51.06µm
u_core.u_transform_scheduler_core.ofdm_mem_addr\[4\],51.06µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.requests_left\[4\],51.06µm
_04619_,51.02µm
_03645_,51.01µm
_07224_,51.01µm
_08091_,51.01µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[6\],51.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[20\],51.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_ext\[15\],51.01µm
_05089_,50.96µm
_05451_,50.96µm
_07992_,50.96µm
u_core.debug_read_latch\[15\],50.96µm
u_core.u_transform_scheduler_core.mod_diag_X0_q\[4\],50.96µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[5\],50.96µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[9\],50.55µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[13\],50.55µm
_04584_,50.5µm
_08169_,50.5µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[7\],50.5µm
u_core.u_transform_scheduler_core.dft12_ram_q\[2\]\[5\],50.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rq_reg\[12\],50.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[1\],50.5µm
_02043_,50.45µm
_02056_,50.45µm
_04526_,50.45µm
_05644_,50.45µm
_05974_,50.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_i_ext\[12\],50.45µm
_02059_,50.4µm
_03461_,50.4µm
_07356_,50.4µm
_08165_,50.4µm
u_core.u_transform_scheduler_core.rx_dft12_index\[0\],50.04µm
_04048_,49.99µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[0\],49.99µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[13\],49.99µm
u_core.u_transform_scheduler_core.small_inflight_count\[0\],49.99µm
_09049_,49.94µm
u_core.u_transform_scheduler_core.dft12_ram_q\[1\]\[4\],49.94µm
u_core.u_transform_scheduler_core.ofdm_mem_addr\[2\],49.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[14\],49.94µm
_03611_,49.89µm
_03734_,49.89µm
_04463_,49.89µm
_04607_,49.89µm
_04707_,49.89µm
_05340_,49.89µm
_08907_,49.89µm
u_core.debug_data_hi\[4\],49.89µm
_02331_,49.84µm
_03631_,49.84µm
_05747_,49.84µm
_05758_,49.84µm
_06247_,49.84µm
_06838_,49.84µm
_06993_,49.84µm
_08292_,49.84µm
_08599_,49.84µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_wdata\[4\],49.7µm
u_core.top_state\[12\],49.53µm
_06648_,49.48µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[2\],49.48µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_group\[4\],49.43µm
_02063_,49.38µm
_07764_,49.38µm
_08008_,49.38µm
_08603_,49.38µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[14\],49.38µm
_02273_,49.33µm
_03143_,49.33µm
_04637_,49.33µm
_06799_,49.33µm
_07926_,49.33µm
_08022_,49.33µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[3\],49.33µm
_05454_,49.28µm
_06875_,49.28µm
_07875_,49.28µm
_08428_,49.28µm
_08699_,49.28µm
_09068_,49.28µm
_08570_,48.87µm
u_core.u_transform_scheduler_core.dft12_ram_i\[1\]\[1\],48.87µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[15\],48.87µm
u_core.u_transform_scheduler_core.dft12_ram_q\[5\]\[12\],48.87µm
_08536_,48.82µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[10\],48.82µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[7\],48.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[10\],48.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[21\],48.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_full,48.82µm
_05621_,48.77µm
_06398_,48.77µm
_06732_,48.77µm
_07711_,48.77µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[5\],48.77µm
_00460_,48.72µm
_03643_,48.72µm
_05317_,48.72µm
_07907_,48.72µm
_08508_,48.72µm
_08528_,48.72µm
_05750_,48.36µm
_07573_,48.31µm
_04644_,48.26µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[8\],48.26µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[4\],48.26µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[13\],48.26µm
u_core.u_transform_scheduler_core.mod_x1_q\[0\],48.26µm
u_core.u_transform_scheduler_core.ofdm_sample_valid,48.26µm
_03352_,48.21µm
_05056_,48.21µm
_05573_,48.21µm
_05765_,48.21µm
_06439_,48.21µm
_08909_,48.21µm
u_core.debug_data_hi\[6\],48.21µm
u_core.input_left\[3\],48.21µm
u_core.u_transform_scheduler_core.rx_dft12_index\[1\],48.21µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[8\],48.21µm
_03491_,48.16µm
_03635_,48.16µm
_06284_,48.16µm
_06895_,48.16µm
_07868_,48.16µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[2\],48.16µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[2\],48.16µm
_02242_,47.75µm
_07718_,47.75µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[7\],47.75µm
_04508_,47.7µm
_06939_,47.7µm
_07326_,47.7µm
_07603_,47.7µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[15\],47.7µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_iq_reg\[12\],47.7µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[8\],47.7µm
_03452_,47.65µm
_04710_,47.65µm
_06460_,47.65µm
_06715_,47.65µm
_07689_,47.65µm
_07873_,47.65µm
_08172_,47.65µm
_02051_,47.6µm
_05528_,47.6µm
_05741_,47.6µm
_05783_,47.6µm
_07767_,47.6µm
u_core.u_transform_scheduler_core.dft12_ram_q\[1\]\[6\],47.6µm
_07811_,47.385µm
_05677_,47.37µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[6\],47.19µm
_02378_,47.14µm
_07605_,47.14µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[3\],47.14µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[14\],47.14µm
u_core.u_transform_scheduler_core.mod_diag_X1_q\[5\],47.14µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[11\],47.14µm
u_core.u_transform_scheduler_core.u_subcarrier_mapper.clear_index\[2\],47.14µm
_02181_,47.09µm
_05590_,47.09µm
_05933_,47.09µm
_07842_,47.09µm
_08141_,47.09µm
_08148_,47.09µm
u_core.u_transform_scheduler_core.dft12_ram_i\[8\]\[1\],47.09µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[7\],47.09µm
_04748_,47.04µm
_05605_,47.04µm
_06418_,47.04µm
_06633_,47.04µm
_06670_,47.04µm
_07020_,47.04µm
_07250_,47.04µm
_08065_,47.04µm
u_core.u_transform_scheduler_core.dft12_sent_x0_q,47.04µm
_07588_,46.63µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[10\],46.63µm
u_core.u_transform_scheduler_core.mod_diag_X0_q\[3\],46.63µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_ext\[4\],46.63µm
_08498_,46.58µm
u_core.u_transform_scheduler_core.dft12_ram_q\[0\]\[13\],46.58µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[12\],46.58µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[2\],46.58µm
u_core.u_transform_scheduler_core.mod_diag_X0_q\[0\],46.58µm
u_core.u_transform_scheduler_core.rx_dft12_index\[2\],46.58µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.held_i\[5\],46.58µm
_02271_,46.53µm
_06966_,46.53µm
_07980_,46.53µm
_03478_,46.48µm
_05211_,46.48µm
_05456_,46.48µm
_05880_,46.48µm
_06260_,46.48µm
_08121_,46.48µm
_08543_,46.48µm
_08773_,46.48µm
_07303_,46.17µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[7\],46.17µm
u_core.u_transform_scheduler_core.dft12_ram_i\[8\]\[13\],46.08µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[7\],46.07µm
_02530_,46.02µm
_04027_,46.02µm
_04101_,46.02µm
u_core.input_left\[0\],46.02µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[14\],46.02µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[13\],46.02µm
_02095_,45.97µm
_02577_,45.97µm
_05492_,45.97µm
_06163_,45.97µm
_08407_,45.97µm
_08941_,45.97µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[13\],45.97µm
_02084_,45.92µm
_04578_,45.92µm
_08067_,45.92µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_i_ext\[7\],45.66µm
u_core.u_transform_scheduler_core.dft12_ram_i\[2\]\[7\],45.56µm
_04097_,45.51µm
u_core.u_transform_scheduler_core.dft12_sent_twiddle_re,45.51µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_i_full,45.51µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[10\],45.46µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[17\],45.46µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[3\],45.46µm
_02301_,45.36µm
_06503_,45.36µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[15\],45.36µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_wdata\[2\],45.22µm
u_core.u_transform_scheduler_core.dft12_ram_q\[2\]\[10\],45.05µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[15\],45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_ext\[14\],45µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[10\],44.95µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[5\],44.95µm
_06986_,44.9µm
u_core.magic_index\[0\],44.9µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[8\],44.9µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[9\],44.9µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.input_sample_index\[2\],44.9µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[15\],44.88µm
_03649_,44.85µm
_07383_,44.85µm
_07792_,44.85µm
_08680_,44.85µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[11\],44.85µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[3\],44.85µm
u_core.u_transform_scheduler_core.dft12_sent_uop,44.85µm
u_core.u_transform_scheduler_core.u_fdiq_input_adapter.input_sample_index\[3\],44.85µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_q_reg\[7\],44.85µm
_04535_,44.8µm
_07052_,44.8µm
