net,length_um
u_transform_scheduler_core.tx_mapper_source_addr\[3\],886.93µm
net206,883.72µm
_08496_,883.32µm
u_transform_scheduler_core.tx_output_busy,882.45µm
_08599_,877.87µm
u_transform_scheduler_core.bf_X1_q\[0\],877.87µm
u_transform_scheduler_core.bf_X1_q\[5\],874.81µm
u_transform_scheduler_core.bf_X1_q\[12\],870.64µm
_02529_,868.23µm
net33,866.67µm
u_transform_scheduler_core.bf_X1_q\[8\],865.09µm
_08515_,864.63µm
u_transform_scheduler_core.bf_X1_i\[3\],861.32µm
_04981_,855.97µm
_02514_,855.72µm
_03651_,852.87µm
clknet_3_1__leaf_clk_regs,852.67µm
_05906_,850.99µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[1\],850.64µm
net92,849.46µm
net88,848.39µm
_03887_,842.83µm
net78,842.64µm
net190,838.57µm
_04646_,838.41µm
_07054_,835.72µm
_04966_,833.73µm
_08596_,833.17µm
u_transform_scheduler_core.bf_X1_q\[7\],829.15µm
_04616_,827.87µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[3\],827.73µm
_03796_,822.79µm
net39,821.72µm
net17,816.48µm
u_transform_scheduler_core.bf_X1_i\[12\],815.2µm
net36,812.86µm
serializer_busy,810.58µm
_08047_,808.18µm
_04279_,804.56µm
u_transform_scheduler_core.fft128_inverse_active,802.59µm
_02528_,801.61µm
_06432_,801.41µm
u_transform_scheduler_core.bf_X1_i\[11\],799.01µm
net48,799.01µm
_06391_,798.4µm
_08126_,796.62µm
net210,794.17µm
_04302_,793.51µm
net83,792.52µm
_06408_,791.84µm
_02534_,790.78µm
u_transform_scheduler_core.fifo_x1_q\[0\]\[10\],788.63µm
u_transform_scheduler_core.bf_X1_i\[9\],787.56µm
_04732_,783.44µm
core_X2_q\[3\],782.01µm
net25,781.75µm
net139,779.46µm
_08598_,778.65µm
net79,776.2µm
u_transform_scheduler_core.bf_X1_i\[15\],774.83µm
net70,773.66µm
_02317_,769.08µm
net94,766.71µm
net89,766.63µm
net180,765.31µm
u_transform_scheduler_core.tx_mapper_source_addr\[0\],764.95µm
net21,764.6µm
_02956_,759.61µm
net103,757.27µm
net16,756µm
u_transform_scheduler_core.u_mixed_radix_butterfly.multiply_product_fire,755.68µm
net84,755.23µm
u_transform_scheduler_core.bf_X1_i\[13\],751.82µm
net71,750.3µm
u_transform_scheduler_core.bf_X1_q\[9\],749.61µm
_08688_,748.77µm
_08673_,747.6µm
u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_pending,747.39µm
_08702_,743.12µm
net90,741.94µm
net66,739.8µm
_02062_,737.21µm
net96,736.19µm
net58,735.83µm
net31,735.78µm
net9,733.9µm
_08710_,733.04µm
u_transform_scheduler_core.tx_mapper_source_addr\[1\],729.67µm
_04964_,728.86µm
_07208_,728.55µm
u_transform_scheduler_core.bf_X0_q\[2\],727.72µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[9\],724.13µm
u_transform_scheduler_core.bf_X1_q\[13\],723.77µm
_08130_,722.09µm
net67,722.09µm
u_transform_scheduler_core.dft12_base\[3\],721.93µm
net119,720.17µm
u_transform_scheduler_core.bf_X0_q\[3\],718.58µm
u_transform_scheduler_core.bf_X0_q\[15\],718.53µm
_04278_,714.2µm
_06936_,711.35µm
net18,710.79µm
net127,710.64µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_stage_valid,709.72µm
net157,709.61µm
_02446_,709.31µm
u_transform_scheduler_core.bf_X1_i\[6\],708.14µm
net158,707.17µm
_02630_,705.44µm
net62,704.93µm
u_transform_scheduler_core.bf_X1_q\[11\],702.23µm
net171,702.08µm
net199,700.9µm
net41,700.3µm
_02848_,698.97µm
_02479_,698.87µm
net109,697.95µm
_03743_,695.16µm
core_X2_q\[1\],694.09µm
_02722_,689.76µm
net116,689.15µm
_08718_,688.85µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[1\],687.32µm
_04952_,687.01µm
_03794_,680.96µm
net15,680.4µm
core_X2_q\[0\],678.92µm
_05686_,677.95µm
net126,674.49µm
net85,673.01µm
_08065_,672.91µm
_07209_,672.09µm
u_transform_scheduler_core.bf_X0_q\[1\],671.49µm
_04953_,669.65µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[5\],668.28µm
net42,665.63µm
_05128_,661.66µm
_08570_,660.9µm
_08139_,658.15µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[3\],654.12µm
_08230_,652.7µm
_08547_,652.6µm
net137,652.44µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[2\],652.04µm
net59,648.83µm
_03801_,646.95µm
core_X2_i\[7\],646.79µm
net172,646.23µm
net153,645.55µm
net60,645.52µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[0\],645.22µm
_02626_,645.135µm
_08029_,643.54µm
net86,643.33µm
u_transform_scheduler_core.bf_X0_q\[0\],642.62µm
u_transform_scheduler_core.bf_X1_i\[4\],640.48µm
_02627_,639.36µm
_08198_,637.43µm
_05791_,637.33µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[0\],637.07µm
net10,636.72µm
u_transform_scheduler_core.bf_X0_q\[4\],635.8µm
net125,635.29µm
u_transform_scheduler_core.rx_small_radix3,634.98µm
_04289_,634.88µm
_08054_,634.58µm
_08597_,633.65µm
_04297_,633.57µm
net101,632.33µm
_08152_,631.42µm
net65,629.78µm
_04125_,627.3µm
net26,625.82µm
_02827_,622.97µm
_05000_,622.2µm
net128,619.1µm
_05687_,618.54µm
_06123_,617.29µm
u_transform_scheduler_core.bf_X0_q\[5\],616.71µm
_02791_,616.47µm
u_transform_scheduler_core.bf_X0_q\[6\],616.25µm
u_transform_scheduler_core.bf_X0_q\[14\],616.1µm
_08590_,615.64µm
_02448_,614.52µm
_02604_,614.16µm
_02578_,613.96µm
net102,612µm
u_transform_scheduler_core.fft128_active,610.95µm
_04454_,610.04µm
