test,bin,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
2,6,41,-78,41,-78,0.38219926125988507,-0.5898576711289018
2,7,33,-62,33,-62,0.3137182697534321,-0.4759133219120505
2,8,-85,5,-85,5,-0.6530045370690003,0.06138355376673155
2,9,137,217,127,127,1.0990111337293458,1.730856976320532
2,10,82,-96,82,-96,0.6643035635950457,-0.7206115773876984
2,11,13,-133,13,-128,0.16962605621393922,-1.0366901129513462
2,12,-37,90,-37,90,-0.2543565590403789,0.7050314187959661
2,13,152,90,127,90,1.2174042182816947,0.7126774565667966
2,14,51,36,51,36,0.4219713461282848,0.2820823718108164
2,15,229,28,127,28,1.808414299844708,0.24756880460937197
2,16,-125,26,-125,26,-0.9664896728019903,0.20779671676911454
2,17,202,45,127,45,1.565282305019626,0.3820362860926201
2,18,96,-100,96,-100,0.7623799891946195,-0.761618301110797
2,19,-131,59,-128,59,-0.9973064679082813,0.4719422215807365
2,20,132,-94,127,-94,1.0318734391023885,-0.7198659704752861
2,21,-38,-18,-38,-18,-0.2874266768159295,-0.10721036759446993
2,22,-69,-21,-69,-21,-0.5260942880783162,-0.13941317223779232
2,23,-201,-121,-128,-121,-1.542968598800933,-0.9387046502477295
2,24,1,-87,1,-87,0.011134936018898145,-0.6801900756832804
2,25,-29,254,-29,127,-0.2376602055661649,1.9827205721359893
2,26,276,-55,127,-55,2.152807764243149,-0.41061084535420783
2,27,335,-15,127,-15,2.636991936192802,-0.0925149543719837
2,28,-171,46,-128,46,-1.3169565045320173,0.36201180884784045
2,29,-104,96,-104,96,-0.8056963732353679,0.7396633077978224
2,30,-30,-24,-30,-24,-0.24430234503780934,-0.17831004272168557
2,31,38,-46,38,-46,0.3055765993458357,-0.36234185768775323
2,32,286,-20,127,-20,2.234375,-0.15625
2,33,-208,-181,-128,-128,-1.6062912830942346,-1.3883948496071779
2,34,126,-27,126,-27,0.9731659567883293,-0.20914998479646907
2,35,-5,162,-5,127,-0.0339673706952808,1.2825430019246942
2,36,66,-4,66,-4,0.5166807784808736,-0.03222411910015971
2,37,196,248,127,127,1.541290175513665,1.933910035672444
2,38,-129,33,-128,33,-1.0104230574642696,0.25964392059810176
2,39,34,217,34,127,0.29133085012707594,1.7048851110311216
2,40,181,234,127,127,1.4095311042377277,1.819625724968455
2,41,112,-226,112,-128,0.8726150107193018,-1.7389516510589806
2,42,-168,-63,-128,-63,-1.3171204285242384,-0.4815469160123589
2,43,-22,-223,-22,-128,-0.16791501228023076,-1.7133385065569433
2,44,-225,48,-128,48,-1.7581108387948936,0.39473434075248265
2,45,-134,61,-128,61,-1.0631440824661624,0.49809883812172373
2,46,-153,66,-128,66,-1.1917506264232274,0.5263533984332549
2,47,-59,117,-59,117,-0.4718803390658741,0.9292985253217253
2,48,16,14,16,14,0.12948119631880584,0.11450667382415922
2,49,32,-9,32,-9,0.2543817750385051,-0.06670192810399095
2,50,-10,0,-10,0,-0.0888022284777969,0.0027935661800451705
2,51,-177,171,-128,127,-1.3728856192250165,1.331842021820471
2,52,12,84,12,84,0.09180614896666765,0.6741350235108114
2,53,38,-85,38,-85,0.28127543424571577,-0.6508573642721537
2,54,38,30,38,30,0.30437687113909306,0.23597467018289037
2,55,4,-7,4,-7,0.035428204944017994,-0.03587314231080457
2,56,-7,-231,-7,-128,-0.04581202819199684,-1.7945692030519063
2,57,69,-129,69,-128,0.5413558944191137,-1.014542215406976
2,58,257,-27,127,-27,2.014276051948235,-0.2083789375988248
2,59,94,127,94,127,0.7229234048084001,1.0088864512839901
2,60,62,-12,62,-12,0.4819896259444195,-0.09312158179952251
2,61,-96,-88,-96,-88,-0.759501754496423,-0.6683746627414617
2,62,37,35,37,35,0.29225867154568697,0.276811844577351
2,63,32,-49,32,-49,0.2728654447331532,-0.36861563294180244
2,64,-2,62,-2,62,-0.015625,0.484375
2,65,71,107,71,107,0.5454011737473277,0.8286820035445432
2,66,-206,5,-128,5,-1.6176031703637501,0.01795260207425714
2,67,15,-7,15,-7,0.1074744713075958,-0.04738051882652802
2,68,-55,158,-55,127,-0.4317772676196458,1.2350403450958056
2,69,271,-31,127,-31,2.1215832843561326,-0.26304256428516826
2,70,-89,-92,-89,-92,-0.7057323545742298,-0.7089163324776878
2,71,1,108,1,108,-0.0018270862825594536,0.8442645111406865
2,72,-29,-159,-29,-128,-0.22584252581517922,-1.2399769632770603
2,73,-9,-1,-9,-1,-0.0914307814757711,0.0019868458426601787
2,74,-178,6,-128,6,-1.3873372830861523,0.05630166319322222
2,75,-9,133,-9,127,-0.08857520660983942,1.0504972691857577
2,76,35,120,35,120,0.27423205607071854,0.9403383864606598
2,77,-136,108,-128,108,-1.0331325823850475,0.8334835294438514
2,78,143,-54,127,-54,1.1113903743693865,-0.43058824388261574
2,79,-75,0,-75,0,-0.5840810532606018,0.010068594972810152
2,80,19,-52,19,-52,0.13836467280199027,-0.41092171676911454
2,81,242,-73,127,-73,1.8788738165605123,-0.5429012535479057
2,82,-28,-114,-28,-114,-0.2468011362492033,-0.8861112185509846
2,83,91,53,91,53,0.6917371411266944,0.4237115898910033
2,84,8,82,8,82,0.03747631628172038,0.6467931488513177
2,85,206,12,127,12,1.5861298355554796,0.10107819086822543
2,86,-115,-83,-115,-83,-0.9019094262841938,-0.6587819313687076
2,87,115,-195,115,-128,0.8845119921597644,-1.5130464583371976
2,88,317,79,127,79,2.469044648337759,0.6242179647433008
2,89,-85,-118,-85,-118,-0.6640994795073483,-0.925709482888565
2,90,-292,117,-128,117,-2.3033438368188763,0.9038911953364337
2,91,-55,-105,-55,-105,-0.4460997251870098,-0.8051437283195846
2,92,17,16,17,16,0.12039843356591484,0.13532682952755012
2,93,40,-62,40,-62,0.31234135678701486,-0.4965412199931841
2,94,120,66,120,66,0.9409608035489706,0.5241881929666378
2,95,-8,-36,-8,-36,-0.07259799704210892,-0.2794055985100989
2,96,74,-20,74,-20,0.578125,-0.15625
2,97,38,135,38,127,0.2921466570586413,1.0664410184010538
2,98,-100,-193,-100,-128,-0.7794454396327597,-1.519659194155808
2,99,45,58,45,58,0.3333891330300931,0.4434336042471845
2,100,-2,40,-2,40,-0.020618507622369747,0.2862391899490854
2,101,-56,98,-56,98,-0.4759890327514885,0.7682816218825719
2,102,21,33,21,33,0.16987660538420818,0.26241520328686757
