net,length_um
net1,1.13481mm
clk,192.09µm
net5,103.51µm
net2,102.39µm
cnt\[0\],101.97µm
net3,101.22µm
net4,96.23µm
cnt\[1\],65.01µm
net27,58.66µm
net28,55.91µm
net26,54.79µm
cnt\[2\],52.23µm
_01_,46.53µm
_05_,46.07µm
_04_,43.17µm
_07_,41.49µm
clknet_1_0__leaf_clk,39.62µm
_03_,34.16µm
_00_,32.53µm
_02_,30.85µm
cnt\[3\],30.85µm
clknet_1_1__leaf_clk_regs,29.73µm
net24,21.14µm
_06_,20.82µm
net9,20.02µm
net14,18.34µm
net25,18.34µm
net17,17.78µm
clknet_0_clk_regs,17.41µm
net6,17.22µm
net7,17.22µm
net10,17.22µm
net11,17.22µm
net13,17.22µm
net15,17.22µm
net16,17.22µm
net19,17.22µm
net20,17.22µm
net21,17.22µm
net22,17.22µm
net,17.22µm
net8,16.66µm
net12,16.66µm
net18,16.66µm
net23,15.54µm
rst,12.84µm
clknet_1_0__leaf_clk_regs,10.64µm
q[2],9.94µm
clk_regs,9.52µm
q[3],8.82µm
q[0],7.7µm
clknet_0_clk,7.28µm
q[1],7.14µm
