net,length_um
core_X2_q\[7\],630.81µm
u_transform_scheduler_core.u_fdiq_output_adapter.state\[1\],630.76µm
net1416,629.79µm
clknet_6_11_0_clk_regs,629.59µm
core_X2_i\[11\],628.47µm
net1517,627.4µm
_06880_,627.3µm
net507,626.84µm
_05779_,624.83µm
core_X2_i\[12\],621.29µm
u_transform_scheduler_core.bf_X1_q\[12\],621.19µm
_05010_,620.12µm
u_transform_scheduler_core.bf_X0_q\[13\],620.07µm
net884,619.05µm
net669,617.32µm
_08146_,616.81µm
net1244,616.76µm
net1062,616.25µm
net1284,615.28µm
net920,614.72µm
net341,612.76µm
net263,612.21µm
_07228_,612.13µm
net822,611.82µm
core_X2_q\[11\],611.16µm
net365,609.48µm
net61,609.18µm
net677,608.35µm
net1340,607.19µm
net889,607.02µm
_03323_,604.32µm
net115,600.75µm
_04959_,600.09µm
net109,598.96µm
net177,597.87µm
u_transform_scheduler_core.bf_X0_q\[15\],596.04µm
net1424,595.68µm
net981,595.4µm
net527,595.12µm
u_transform_scheduler_core.tx_mapper_source_addr\[2\],594.82µm
net1265,594.3µm
_06331_,594.26µm
net268,593.95µm
net1251,592.83µm
net1360,592.07µm
net30,591.46µm
net879,590.77µm
net808,589.98µm
net494,589.83µm
net686,588.76µm
_03544_,587.13µm
net516,585.91µm
u_transform_scheduler_core.bf_X0_i\[11\],585.86µm
_01985_,585.23µm
net1442,584.89µm
net1443,582.19µm
net149,580.92µm
net818,580.57µm
net27,580.26µm
net68,579.14µm
_03483_,578.86µm
net159,577.76µm
net98,577.68µm
net919,575.78µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[13\],575.27µm
net473,574.3µm
net1361,574.2µm
core_X2_i\[6\],573.55µm
net324,573.18µm
net53,571.4µm
_00039_,569.08µm
net199,569.03µm
_04929_,568.09µm
net544,568.04µm
net1175,567.07µm
u_transform_scheduler_core.bf_X1_q\[13\],566.41µm
net983,565.59µm
net1414,565.34µm
_03322_,564.83µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[3\],563.97µm
net883,563.84µm
_06879_,562.67µm
net117,561.52µm
_04709_,561.32µm
net75,560.3µm
_05325_,559.03µm
net913,558.47µm
net925,558.06µm
u_transform_scheduler_core.bf_X0_q\[10\],557.96µm
clknet_6_10_0_clk_regs,556.84µm
u_transform_scheduler_core.bf_X0_i\[12\],555.67µm
net191,555.62µm
u_transform_scheduler_core.bf_X0_q\[8\],554.04µm
net243,553.58µm
net240,553.53µm
u_transform_scheduler_core.bf_X0_q\[7\],553.43µm
net77,552.38µm
