net,length_um
u_transform_scheduler_core.bf_X0_q\[5\],1.04017mm
_04119_,1.03997mm
_04340_,1.03915mm
core_X2_q\[5\],1.03859mm
_04227_,1.03329mm
_07059_,1.03055mm
net122,1.02999mm
_06865_,1.02996mm
_04732_,1.02887mm
net180,1.02815mm
net119,1.0277mm
net190,1.02611mm
net127,1.02396mm
_06883_,1.02312mm
net56,1.02067mm
core_X2_i\[8\],1.01772mm
net123,1.01543mm
_07008_,1.01533mm
net218,1.01344mm
net124,1.01319mm
net120,1.01263mm
net150,1.01262mm
u_transform_scheduler_core.bf_X0_i\[0\],1.01251mm
u_transform_scheduler_core.fft128_done,1.01217mm
net121,1.00759mm
net183,1.00738mm
net57,1.00551mm
_06020_,1.00367mm
_07115_,1.00367mm
_05497_,997.4µm
_04292_,995.72µm
net164,994.25µm
core_X2_i\[13\],991.55µm
_06498_,987.84µm
_05803_,986.82µm
net40,984.88µm
u_transform_scheduler_core.bf_X0_q\[1\],984.13µm
_05776_,977.86µm
net224,977.04µm
net32,976.05µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],974.46µm
core_X2_i\[12\],974.04µm
_06997_,973.38µm
core_X2_q\[15\],973.32µm
net168,969.76µm
_04630_,968.79µm
_06478_,968.34µm
net136,967.82µm
core_X2_q\[6\],966.35µm
core_X2_q\[7\],966.15µm
net142,965.99µm
net92,964.97µm
net182,962.53µm
core_X2_q\[9\],961.21µm
u_transform_scheduler_core.fft128_ofdm_active,960.14µm
net147,959.53µm
u_transform_scheduler_core.fifo_x1_q\[0\]\[10\],958.36µm
_06885_,957.43µm
_02770_,956.37µm
_05693_,956.37µm
clknet_3_3_0_clk_regs,955.81µm
u_transform_scheduler_core.bf_X1_i\[14\],954.1µm
_07073_,952.71µm
net51,951.13µm
_04113_,951.03µm
u_transform_scheduler_core.tx_mapper_source_addr\[3\],950.11µm
u_transform_scheduler_core.bf_X0_q\[8\],949.69µm
_05429_,949.3µm
core_X2_i\[6\],946.9µm
u_transform_scheduler_core.bf_X0_i\[1\],944.9µm
_04111_,939.78µm
net17,939.27µm
_04125_,938.71µm
core_X2_q\[10\],938.45µm
_06512_,938µm
u_transform_scheduler_core.bf_X0_i\[7\],937.79µm
_05732_,936.88µm
_06057_,936.42µm
net16,935.76µm
clknet_3_2_0_clk_regs,932.8µm
net188,931.57µm
net21,927.76µm
_07080_,927.41µm
core_X2_i\[14\],927.25µm
u_transform_scheduler_core.bf_X0_i\[4\],925.55µm
_06933_,923.03µm
net130,922.12µm
u_transform_scheduler_core.fifo_radix3\[0\]\[0\],920.51µm
_06111_,920.48µm
core_X2_q\[13\],919.91µm
_04117_,919.01µm
_04107_,918.55µm
_04339_,916.87µm
net29,916.66µm
u_transform_scheduler_core.bf_X0_i\[6\],916.46µm
_04115_,915.75µm
_04623_,914.53µm
net91,914.21µm
net37,913.15µm
_06105_,912.8µm
net113,910.38µm
clknet_3_6_0_clk_regs,909.64µm
net198,909.33µm
net47,907.56µm
u_transform_scheduler_core.tx_mapper_source_addr\[2\],905.77µm
net154,905.36µm
_04142_,904.8µm
_06983_,903.43µm
_06082_,903.36µm
_07101_,902.26µm
_04646_,902µm
net236,900.78µm
u_transform_scheduler_core.bf_X1_i\[13\],896.96µm
_04961_,896.81µm
net116,896.09µm
net206,895.84µm
u_transform_scheduler_core.bf_X0_q\[14\],895.23µm
_04297_,895.08µm
_02723_,893.25µm
net54,890.49µm
net163,888.72µm
net84,887.69µm
net223,886.14µm
u_transform_scheduler_core.bf_X0_i\[12\],884.44µm
net22,883.37µm
_06110_,879.9µm
net68,879.45µm
_05758_,879.35µm
_06907_,876.04µm
_05790_,875.38µm
_06325_,874.31µm
_04962_,873.95µm
u_transform_scheduler_core.bf_X0_q\[0\],872.93µm
u_transform_scheduler_core.bf_X1_i\[11\],872.32µm
u_transform_scheduler_core.bf_X1_i\[12\],872.22µm
_06045_,869.68µm
_04154_,869.27µm
u_transform_scheduler_core.bf_X0_q\[7\],868.76µm
core_X2_q\[0\],868.66µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[4\],865.92µm
u_transform_scheduler_core.dft12_active,865.14µm
_05395_,861.99µm
_06283_,861.99µm
net90,861.83µm
net60,860.86µm
net15,860.77µm
_05971_,859.74µm
_06300_,858.53µm
_06112_,858.255µm
_04947_,858.22µm
_06533_,857.41µm
net110,856.99µm
_06369_,856.34µm
_06033_,856.29µm
_06069_,854.66µm
net66,850.53µm
u_transform_scheduler_core.bf_X0_i\[10\],850.48µm
_07481_,850.45µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],849.53µm
net25,845.9µm
net191,842.13µm
u_transform_scheduler_core.bf_X0_q\[9\],841.27µm
_05854_,838.88µm
net133,838.21µm
_06919_,836.23µm
net45,836.07µm
_05830_,834.45µm
net28,833.17µm
u_transform_scheduler_core.fft128_active,832.2µm
_06912_,831.14µm
net39,827.47µm
net89,826.91µm
_06392_,825.59µm
_06990_,825.59µm
_05704_,823.76µm
net38,823.7µm
_02450_,823.6µm
net26,820.85µm
net192,819.12µm
net126,818.37µm
_06008_,818.26µm
net140,815.45µm
_06109_,814.64µm
_06753_,814.29µm
clknet_3_1_0_clk_regs,814.13µm
u_transform_scheduler_core.bf_X0_q\[11\],811.74µm
_06830_,811.59µm
_04417_,811.49µm
_06810_,811.44µm
clknet_3_4_0_clk_regs,810.67µm
u_transform_scheduler_core.bf_X0_q\[13\],810.62µm
_02848_,810.16µm
_04083_,809.35µm
_06948_,809.35µm
_06893_,808.23µm
_05692_,806.75µm
u_transform_scheduler_core.bf_X0_q\[15\],806.6µm
_08388_,806.19µm
net148,806.01µm
_06262_,805.99µm
_04952_,805.73µm
_06926_,803.75µm
_06976_,802.63µm
_06666_,802.07µm
_04372_,802.02µm
net18,801.49µm
_05682_,801.4µm
u_transform_scheduler_core.bf_X0_q\[4\],800.74µm
_06688_,797.03µm
_06642_,796.47µm
_06409_,796.37µm
_06790_,795.35µm
top_state\[0\],794.79µm
clknet_leaf_10_clk_regs,794.73µm
_06841_,794.18µm
u_transform_scheduler_core.bf_X0_q\[12\],792.08µm
net194,791.93µm
_04136_,789.34µm
_04109_,788.63µm
_06765_,787.46µm
_02432_,787.05µm
net215,784.3µm
_05745_,783.54µm
_08494_,783.13µm
net27,782.72µm
_02790_,782.52µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[5\],782.48µm
u_transform_scheduler_core.bf_out_valid,782.42µm
net42,782.21µm
net220,782.16µm
net230,781.55µm
net23,781.09µm
net167,780.48µm
_02446_,778.6µm
_06575_,777.89µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[13\],777.43µm
_06140_,777.38µm
_08424_,776.79µm
_06618_,776.26µm
_08597_,776µm
_04964_,774.16µm
net211,772.59µm
_06728_,772.39µm
_02630_,772.28µm
_06349_,771.83µm
net145,770.93µm
_05673_,769.69µm
