net,length_um
net103,826.96µm
net94,824.77µm
_02645_,823.14µm
net108,820.06µm
net154,816.47µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[2\],815.91µm
net57,812.52µm
_05454_,811.02µm
net163,808.02µm
net153,807.51µm
net63,796.21µm
net38,795.79µm
u_transform_scheduler_core.bf_X1_i\[12\],793.05µm
_05448_,792.59µm
_08300_,791.27µm
u_transform_scheduler_core.tx_mapper_source_addr\[1\],790.65µm
net147,790.41µm
u_transform_scheduler_core.ofdm_mem_req,789.49µm
net199,785.42µm
net205,783.99µm
u_transform_scheduler_core.bf_X1_i\[2\],783.23µm
u_transform_scheduler_core.bf_X1_i\[10\],782.67µm
net114,778.8µm
net211,778.39µm
_05900_,778.29µm
net35,777.96µm
_06304_,777.63µm
_06303_,777.48µm
net216,775.85µm
u_transform_scheduler_core.tx_mapper_source_addr\[0\],775.13µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[6\],775.08µm
net168,773.3µm
u_transform_scheduler_core.bf_X1_i\[9\],772.44µm
net128,770.12µm
_08086_,769.13µm
_08193_,765.67µm
net31,764.8µm
net177,763.93µm
net122,762.35µm
_06897_,761.43µm
net49,760.27µm
_03590_,759.15µm
net47,757.42µm
net173,756.53µm
net45,754.01µm
core_X2_q\[8\],751.95µm
_02589_,750.85µm
net203,747.79µm
net152,744.49µm
_05891_,743.98µm
net120,742.25µm
core_X2_q\[13\],741.18µm
u_transform_scheduler_core.bf_X1_q\[6\],740.62µm
net151,740.06µm
net25,737.41µm
_05339_,733.8µm
_06865_,733.7µm
net123,732.87µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[3\],732.03µm
_08043_,731.56µm
net212,730.74µm
_08123_,729.88µm
_04749_,728.66µm
u_transform_scheduler_core.bf_X1_q\[3\],727.74µm
net43,725.14µm
u_transform_scheduler_core.bf_X1_q\[1\],722.9µm
_04083_,721.68µm
net10,721.43µm
_04249_,717.1µm
core_X2_q\[9\],715.02µm
core_X2_q\[11\],714.25µm
u_transform_scheduler_core.tx_mapper_busy,709.87µm
net155,709.23µm
_08005_,707.38µm
net186,707.27µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[5\],705.01µm
_08157_,702.85µm
core_X2_q\[14\],700.3µm
net179,699.33µm
net195,699.33µm
u_transform_scheduler_core.bf_X1_i\[0\],694.42µm
_05896_,694.39µm
_04082_,692.71µm
_04211_,691.46µm
core_X2_q\[10\],688.53µm
net79,685.13µm
net76,684.31µm
u_transform_scheduler_core.bf_X0_q\[8\],683.54µm
core_X2_i\[3\],682.69µm
core_X2_q\[15\],682.45µm
_04675_,682.08µm
net201,681.2µm
_04968_,678.66µm
net140,678.65µm
net167,678.46µm
net141,677.9µm
net68,677.49µm
_02764_,675.49µm
_03709_,674.69µm
_04757_,667.97µm
_05939_,666.95µm
net39,666.7µm
u_transform_scheduler_core.fft128_active,666.32µm
core_X2_i\[1\],663.8µm
u_transform_scheduler_core.bf_X0_i\[1\],663.49µm
_03891_,658.66µm
core_X2_i\[9\],656.62µm
_08292_,654.74µm
_02783_,654.38µm
net157,654.38µm
core_X2_q\[12\],654.28µm
_06898_,653.51µm
net146,652.8µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[1\],651.02µm
net30,649.39µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[4\],646.54µm
net214,645.52µm
_02830_,641.38µm
_08298_,639.26µm
net32,638.87µm
_02558_,638.7µm
net117,638.39µm
u_transform_scheduler_core.bf_X1_i\[7\],635.39µm
_04636_,633.41µm
_05938_,629.38µm
core_X2_i\[8\],627.86µm
_04628_,626.08µm
net78,625.41µm
clknet_leaf_36_clk_regs,624.8µm
_04754_,623.93µm
_06899_,623.83µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[4\],623.64µm
u_transform_scheduler_core.bf_X0_i\[0\],623.28µm
net210,622.2µm
net29,621.95µm
_05450_,621.44µm
core_X2_i\[11\],617.88µm
_04135_,616.81µm
_02800_,613.38µm
net99,609.73µm
net169,609.53µm
_04243_,609.17µm
net36,608.51µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[2\],607.14µm
u_transform_scheduler_core.rx_small_radix3,606.83µm
_04778_,601.59µm
_03892_,600.82µm
net55,600.57µm
net46,599.6µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[0\],598.99µm
net77,597.87µm
_04989_,596.65µm
_04185_,596.45µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[1\],595.43µm
_06866_,594.21µm
_07750_,593.28µm
core_X2_i\[0\],592.17µm
net9,592.17µm
_05892_,592.02µm
net112,589.88µm
_08301_,587.46µm
net172,587.33µm
net162,586.62µm
_04784_,586.06µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[3\],585.81µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[6\],585.55µm
_05770_,585.45µm
_04726_,585.2µm
_04502_,584.08µm
u_transform_scheduler_core.bf_X1_q\[0\],581.17µm
_05447_,581.02µm
_08274_,580.21µm
_07962_,579.85µm
net90,579.74µm
u_transform_scheduler_core.bf_X0_i\[3\],579.29µm
_08302_,576.59µm
net37,576.2µm
_02447_,573.64µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[1\],573.43µm
net42,570.79µm
core_X2_i\[12\],570.66µm
net84,570.3µm
core_X2_i\[5\],570.05µm
_04178_,567.89µm
_02744_,567.48µm
net113,567.17µm
_02765_,566.46µm
_03388_,566.46µm
_04970_,566.46µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[3\],562.595µm
u_transform_scheduler_core.bf_X0_i\[2\],562.44µm
_04560_,562.29µm
_04091_,558.11µm
_02587_,557.4µm
net17,557.25µm
_06471_,556.17µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[13\],554.96µm
net91,552µm
net13,551.65µm
_04688_,551.09µm
net18,551.04µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[14\],548.34µm
core_X2_q\[7\],548.01µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[3\],546.35µm
_02849_,541.87µm
_02449_,541.72µm
net44,539.02µm
net75,538.66µm
net138,537.8µm
_06893_,537.65µm
u_transform_scheduler_core.fifo_x1_q\[0\]\[10\],537.65µm
net74,537.19µm
_02747_,535.63µm
_06685_,534.9µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[5\],533.62µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[12\],529.81µm
_02464_,529.17µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[0\],528.69µm
net159,527.82µm
_07806_,527.77µm
_03196_,526.83µm
net182,525.02µm
_06862_,524.26µm
_05907_,522.98µm
_07804_,521.51µm
net40,518.76µm
_04658_,518.7µm
_02843_,517.64µm
_05954_,517.03µm
core_X2_i\[13\],515.96µm
net50,515.4µm
net183,513.87µm
_04768_,513.72µm
_05188_,510.46µm
_06566_,508.48µm
u_transform_scheduler_core.mod_diag_addr1\[6\],508.11µm
_08303_,505.52µm
u_transform_scheduler_core.bf_X0_q\[15\],505.27µm
_07820_,501.5µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_cen,500.5µm
net93,500.38µm
net161,499.05µm
_02481_,498.7µm
_02646_,498.19µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[6\],497.7µm
net160,497.07µm
core_X2_i\[10\],496.46µm
_04354_,495.24µm
u_transform_scheduler_core.bf_X0_q\[14\],495.24µm
_05897_,494.17µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[15\],493.92µm
net92,490.96µm
_05932_,490.76µm
clknet_leaf_66_clk_regs,489.58µm
_03972_,486.79µm
net187,486.68µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[1\],486.55µm
_07926_,485.31µm
_04750_,483.28µm
core_X2_i\[4\],482.92µm
_06636_,482.21µm
_04568_,479.92µm
_06789_,479.36µm
u_transform_scheduler_core.bf_X0_i\[8\],477.32µm
clknet_leaf_62_clk_regs,477.21µm
core_X2_i\[2\],476.76µm
_05446_,476.35µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[5\],475.86µm
_04804_,475.18µm
u_transform_scheduler_core.u_fdiq_output_adapter.state\[1\],475.13µm
_07824_,474.06µm
_02004_,471.46µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[2\],470.31µm
_06619_,469.99µm
core_X2_i\[15\],468.97µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[0\],468.77µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_req,468.16µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[4\],467.46µm
_03454_,467.08µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[0\],466.95µm
_04730_,466.53µm
net87,465µm
net48,464.9µm
_06526_,462.15µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_gwen,461.25µm
_04756_,461.13µm
_03539_,460.93µm
_04143_,460.62µm
delaynet_1_core_clk,459.3µm
_02446_,458.53µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[1\],457.62µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[0\],457.57µm
net27,457.16µm
_02852_,456.55µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[7\],456.31µm
_05342_,456.14µm
_06697_,454.21µm
net149,454µm
_05340_,450.49µm
_06667_,449.83µm
_06754_,447.44µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_gwen,446.94µm
_07868_,445.96µm
net213,445.96µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[6\],445.86µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[4\],444.84µm
_03689_,444.36µm
_04153_,444.28µm
_06777_,444.13µm
net130,443.16µm
u_transform_scheduler_core.bf_X0_i\[6\],443.06µm
_06615_,441.94µm
u_transform_scheduler_core.bf_X0_i\[5\],440.41µm
clknet_leaf_82_clk_regs,440.25µm
_02272_,440µm
clknet_leaf_33_clk_regs,439.64µm
_08251_,438.58µm
_06691_,436.85µm
_04381_,436.44µm
_03733_,436.29µm
_05917_,435.83µm
_07833_,435.42µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[2\],434.35µm
clknet_leaf_50_clk_regs,433.48µm
_02574_,433.13µm
core_X2_i\[14\],432.47µm
net51,431.55µm
_07848_,430.84µm
_05242_,428.45µm
_05942_,428.04µm
_06414_,427.89µm
core_X2_q\[2\],426.26µm
_02624_,424.78µm
net111,424.32µm
_05941_,423.66µm
_06772_,423.51µm
_06629_,423.36µm
core_X2_q\[5\],422.44µm
_07818_,421.78µm
_04505_,420.1µm
_07171_,419.69µm
_04521_,419.26µm
_06661_,418.88µm
_02526_,418.62µm
_02834_,418.47µm
_06703_,418.32µm
_04510_,417.09µm
_04543_,416.84µm
_02542_,416.18µm
_02525_,415.36µm
net133,414.34µm
_04166_,414.14µm
_04509_,414.08µm
_02822_,414.04µm
_06760_,413.99µm
_05945_,413.94µm
clknet_leaf_86_clk_regs,413.52µm
net115,412.91µm
_04033_,412.82µm
core_X2_q\[4\],412.46µm
_03888_,411.8µm
clknet_leaf_12_clk_regs,411.39µm
net116,410.98µm
_02810_,410.81µm
_02846_,410.78µm
_02035_,410.53µm
u_transform_scheduler_core.bf_X0_q\[9\],410.12µm
u_transform_scheduler_core.bf_X0_q\[1\],409.92µm
_07810_,408.95µm
_05307_,408.85µm
_06679_,408.85µm
clknet_leaf_78_clk_regs,408.84µm
net142,408.39µm
_04515_,407.93µm
_05931_,406.86µm
net64,406.86µm
_06815_,406.71µm
_05520_,406.56µm
net98,406.25µm
core_X2_q\[1\],406.2µm
clknet_leaf_69_clk_regs,405.94µm
net86,405.79µm
clknet_leaf_91_clk_regs,405.74µm
_07805_,404.42µm
clknet_leaf_68_clk_regs,404.41µm
_04886_,403.34µm
clknet_leaf_51_clk_regs,402.83µm
_05210_,402.79µm
_05288_,402.64µm
net85,402.18µm
net150,401.97µm
_05922_,401.11µm
u_transform_scheduler_core.bf_X0_q\[7\],400.65µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[6\],400.4µm
_02831_,399.99µm
_06723_,399.94µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[8\],399.38µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[2\],399.28µm
_06037_,398.87µm
_06748_,397.6µm
_04154_,397.19µm
_06766_,397.19µm
net11,397.04µm
_02534_,396.55µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[10\],396.48µm
_04221_,395.2µm
_06795_,394.85µm
u_transform_scheduler_core.bf_X0_q\[12\],394.29µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[4\],394.29µm
clknet_leaf_5_clk_regs,393.92µm
_05928_,393.88µm
_04520_,393.06µm
_03594_,392.76µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[3\],392.66µm
clknet_leaf_9_clk_regs,392.55µm
_02855_,392.5µm
_06801_,392µm
_05943_,391.59µm
_02273_,391.38µm
u_transform_scheduler_core.tx_mapper_source_addr\[3\],391.08µm
u_transform_scheduler_core.fft128_done,391.03µm
clknet_leaf_44_clk_regs,390.51µm
_06656_,390.42µm
_08377_,390.32µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[1\],390.32µm
_06509_,389.35µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[3\],389.25µm
_06673_,389.2µm
_02840_,388.58µm
clknet_leaf_40_clk_regs,388.58µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[7\],388.23µm
_06486_,387.67µm
clknet_leaf_19_clk_regs,387.66µm
clknet_leaf_60_clk_regs,387.1µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[11\],386.55µm
clknet_leaf_53_clk_regs,386.29µm
_04832_,386.2µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[5\],385.94µm
_04554_,385.53µm
_06640_,384.16µm
net107,384µm
_05944_,383.75µm
_02806_,383.64µm
_06097_,383.14µm
u_transform_scheduler_core.bf_X0_q\[13\],382.68µm
_06454_,382.63µm
u_transform_scheduler_core.bf_X0_q\[6\],382.63µm
u_transform_scheduler_core.mod_diag_addr0\[5\],382.63µm
_04123_,381.97µm
_04935_,381.41µm
_06359_,380.8µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_stage_valid,380.49µm
u_transform_scheduler_core.bf_X0_q\[10\],380.39µm
clknet_leaf_45_clk_regs,379.72µm
_02530_,378.76µm
_06601_,378.56µm
_02040_,378µm
_04513_,377.64µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[7\],377.59µm
_05311_,377.44µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[8\],377.23µm
_02044_,376.93µm
_05265_,376.93µm
_05195_,376.42µm
_04288_,376.21µm
_04783_,376.11µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_write,375.91µm
_06584_,375.86µm
clknet_leaf_96_clk_regs,375.8µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[4\],375.25µm
clknet_leaf_7_clk_regs,374.86µm
clknet_leaf_16_clk_regs,374.27µm
_04967_,374.13µm
_06474_,374.13µm
clknet_leaf_79_clk_regs,372.95µm
u_transform_scheduler_core.tx_dout_valid,372.85µm
_05444_,372.76µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[6\],372.4µm
clknet_leaf_18_clk_regs,372.39µm
clknet_leaf_76_clk_regs,371.68µm
clknet_leaf_14_clk_regs,371.37µm
_02580_,370.87µm
clknet_leaf_59_clk_regs,370.15µm
clknet_leaf_6_clk_regs,370µm
_04791_,368.63µm
_02048_,367.92µm
clknet_leaf_80_clk_regs,367.86µm
clknet_leaf_70_clk_regs,367.6µm
u_transform_scheduler_core.mod_diag_addr0\[6\],367.36µm
net97,366.39µm
clknet_leaf_1_clk_regs,365.52µm
clknet_leaf_8_clk_regs,365.11µm
clknet_leaf_81_clk_regs,364.65µm
clknet_leaf_21_clk_regs,364.09µm
_03864_,363.75µm
_04253_,363.18µm
_04224_,362.88µm
_04471_,362.87µm
clknet_leaf_4_clk_regs,362.62µm
_02826_,362.52µm
u_transform_scheduler_core.mod_diag_addr1\[5\],361.25µm
clknet_leaf_88_clk_regs,361.19µm
_06263_,360.08µm
clknet_leaf_46_clk_regs,359.66µm
clknet_leaf_25_clk_regs,359.36µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[7\],357.99µm
_04144_,357.43µm
clknet_leaf_64_clk_regs,357.32µm
_04859_,357.14µm
_04062_,356.97µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[7\],356.36µm
clknet_leaf_17_clk_regs,356.1µm
_03942_,355.65µm
clknet_leaf_71_clk_regs,355.64µm
_04339_,355.315µm
clknet_leaf_11_clk_regs,355.08µm
_02545_,354.86µm
clknet_leaf_42_clk_regs,354.24µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[14\],353.97µm
_07895_,353.56µm
clknet_leaf_74_clk_regs,353.4µm
u_transform_scheduler_core.bf_X0_q\[11\],353µm
clknet_leaf_90_clk_regs,351.11µm
clknet_leaf_85_clk_regs,350.6µm
_05449_,350.35µm
core_X2_q\[6\],350.2µm
_06625_,350.1µm
core_X2_i\[7\],349.79µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[8\],349.64µm
_06393_,349.59µm
clknet_leaf_83_clk_regs,349.48µm
clknet_leaf_94_clk_regs,349.48µm
_06734_,348.93µm
_04146_,348.37µm
_06652_,348.06µm
net66,346.94µm
_04534_,346.89µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[3\],346.64µm
clknet_leaf_63_clk_regs,346.12µm
clknet_leaf_49_clk_regs,345.46µm
clknet_leaf_84_clk_regs,344.9µm
_02726_,344.65µm
u_transform_scheduler_core.bf_X0_i\[9\],344.65µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[0\],344.55µm
core_X2_i\[6\],344.5µm
_06739_,343.94µm
_06242_,342.82µm
_03925_,342.61µm
_04105_,341.85µm
u_transform_scheduler_core.bf_X0_i\[4\],340.68µm
_02837_,340.17µm
_02818_,339.1µm
clknet_leaf_47_clk_regs,339.02µm
_04654_,338.24µm
u_transform_scheduler_core.dft12_base\[2\],338.18µm
clknet_leaf_15_clk_regs,338.03µm
clknet_leaf_3_clk_regs,337.72µm
_06456_,337.68µm
_05929_,336.86µm
clknet_leaf_2_clk_regs,336.45µm
clknet_leaf_41_clk_regs,334.11µm
_02546_,333.96µm
clknet_leaf_73_clk_regs,333.33µm
_03305_,332.64µm
clknet_leaf_55_clk_regs,331.91µm
_05443_,331.72µm
clknet_leaf_93_clk_regs,330.54µm
_03398_,330.45µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[5\],330.4µm
clknet_leaf_67_clk_regs,330.09µm
u_transform_scheduler_core.bf_X0_i\[15\],329.99µm
u_transform_scheduler_core.bf_X0_i\[7\],329.99µm
net71,329.22µm
clknet_leaf_58_clk_regs,329.22µm
clknet_leaf_43_clk_regs,328.66µm
clknet_leaf_75_clk_regs,328.35µm
_04223_,328.21µm
clknet_leaf_22_clk_regs,327.79µm
_06223_,327.65µm
_06610_,327.39µm
clknet_leaf_48_clk_regs,326.98µm
_06295_,326.53µm
u_transform_scheduler_core.bf_X0_q\[3\],326.17µm
clknet_leaf_95_clk_regs,326.01µm
_02565_,325.76µm
_05338_,325.66µm
_04242_,324.95µm
clknet_leaf_65_clk_regs,324.48µm
_01770_,324.44µm
clknet_leaf_92_clk_regs,324.33µm
_06547_,323.78µm
clknet_leaf_10_clk_regs,323.47µm
net82,322.76µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[1\],322.61µm
clknet_leaf_52_clk_regs,322.09µm
clknet_leaf_72_clk_regs,321.48µm
_02577_,321.23µm
_04113_,320.98µm
clknet_leaf_39_clk_regs,320.72µm
_06281_,320.37µm
_04124_,319.3µm
clknet_leaf_0_clk_regs,319.19µm
_07735_,318.13µm
_03369_,317.72µm
u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_re_reg\[1\],317.45µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[1\],317.16µm
_02451_,315.94µm
_07768_,315.89µm
clknet_leaf_13_clk_regs,315.17µm
_04909_,314.77µm
clknet_leaf_54_clk_regs,314.51µm
clknet_leaf_61_clk_regs,313.03µm
clknet_leaf_23_clk_regs,312.88µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[2\],312.48µm
u_transform_scheduler_core.bf_X0_i\[14\],311.41µm
clknet_leaf_56_clk_regs,311.2µm
_07779_,310.9µm
_07721_,310.34µm
net134,308.91µm
_06630_,308.05µm
_03945_,307.46µm
_05492_,306.93µm
_06713_,305.2µm
_04164_,304.23µm
