net,length_um
u_core.boti\[7\],336.61µm
net141,335.13µm
u_core.im_q_hi\[2\],334.74µm
net136,334.62µm
_3966_,333.81µm
_3935_,333.3µm
u_core.im_q_hi\[0\],332.7µm
net408,329.43µm
u_core.re_q_lo\[4\],328.07µm
net267,327.49µm
net142,326.83µm
u_core.botr\[1\],326.63µm
net299,326.17µm
net228,325.81µm
net13,324.34µm
net379,322.66µm
_1601_,322.56µm
net322,320.93µm
net303,320.57µm
net84,320.47µm
net150,319.96µm
_1615_,318.08µm
net318,317.62µm
net171,316.09µm
_0261_,315.89µm
_1524_,312.83µm
net323,312.63µm
net340,311.2µm
net127,310.29µm
net279,309.93µm
net320,309.37µm
u_core.im_q_hi\[1\],309.03µm
clknet_5_28__leaf_clk_i_regs,308.25µm
net262,308.2µm
net409,307.54µm
_3056_,307.03µm
u_core.botr\[5\],305.81µm
tw_re\[2\],305.63µm
tw_im\[7\],304.64µm
_3686_,301.43µm
net269,300.97µm
net260,298.63µm
net282,297.61µm
net249,297.1µm
net214,289.72µm
_3038_,289.62µm
_1566_,288.45µm
_3681_,287.89µm
net257,287.22µm
net254,285.95µm
net319,283.71µm
u_core.im_d\[13\],281.96µm
u_core.im_d\[14\],281.54µm
net286,280.81µm
clknet_5_16__leaf_clk_i_regs,276.69µm
_1274_,276.13µm
u_core.boti\[8\],275.16µm
clknet_5_0__leaf_clk_i_regs,274.5µm
clknet_5_17__leaf_clk_i_regs,272.92µm
net399,272.36µm
_0880_,272.21µm
net272,271.95µm
sch_cmd_ready,270.07µm
_0544_,269.51µm
net378,268.85µm
net230,268.24µm
_3033_,267.73µm
net178,266.91µm
net275,266.76µm
net271,266.1µm
_3784_,265.44µm
net184,263.35µm
net304,261.16µm
_0577_,261.01µm
_3358_,257.82µm
_1360_,257.14µm
u_core.boti\[10\],257.14µm
_1157_,253.68µm
net96,253.68µm
net90,253.27µm
net331,253.27µm
u_core.re_d\[9\],252.98µm
net277,252.81µm
u_core.boti\[0\],252.22µm
net310,251.74µm
clknet_5_6__leaf_clk_i_regs,251.03µm
_3513_,250.42µm
u_core.boti\[6\],249.96µm
net215,249.12µm
_1285_,248.69µm
clknet_5_26__leaf_clk_i_regs,246.5µm
net306,245.58µm
_3394_,245.28µm
net432,244.82µm
net158,243.34µm
net194,243.24µm
u_core.re_q_lo\[3\],243µm
_3671_,241.97µm
net101,241.66µm
net30,241.61µm
net155,239.73µm
clknet_5_18__leaf_clk_i_regs,238.66µm
net31,237.59µm
_1264_,237.03µm
net74,236.39µm
net222,236.37µm
_0550_,235.81µm
net263,235.45µm
u_core.gwen,234.84µm
net109,234.48µm
_3982_,233.52µm
_3877_,232.5µm
net346,232.5µm
_0631_,231.94µm
u_core.im_d\[12\],231.14µm
_2934_,230.21µm
net170,229.39µm
net338,229.24µm
u_core.im_d\[8\],228.9µm
_1325_,228.58µm
net428,228.02µm
net121,227.51µm
net204,227.41µm
net183,226.44µm
net133,225.32µm
net385,225.27µm
clknet_5_1__leaf_clk_i_regs,224.66µm
net26,224.56µm
net433,224.05µm
net186,223.69µm
_0845_,223.59µm
net200,221.35µm
net176,219.06µm
_1101_,218.12µm
_4015_,217.99µm
map_out_last,217.89µm
net313,215.65µm
net202,215.19µm
u_core.boti\[2\],215.09µm
_3386_,215.04µm
u_core.re_d\[12\],214.95µm
clknet_5_25__leaf_clk_i_regs,214.12µm
net239,212.64µm
net124,212.03µm
net189,212.03µm
_2930_,209.44µm
_3665_,208.93µm
net66,206.69µm
net321,205.87µm
net115,205.62µm
_1377_,205.52µm
_1098_,203.99µm
_1599_,203.94µm
net145,202.92µm
_0949_,202.77µm
net152,202.16µm
tw_re\[4\],201.65µm
net208,200.78µm
clknet_5_29__leaf_clk_i_regs,200.63µm
net227,200.32µm
net105,199.56µm
clknet_0_clk_i,199.46µm
net371,197.78µm
_1006_,197.5µm
net265,197.27µm
net233,196.86µm
_3389_,196.56µm
clknet_5_7__leaf_clk_i_regs,195.69µm
_2936_,195.49µm
_3593_,195.49µm
_0513_,194.93µm
net251,194.67µm
net278,193.3µm
net237,192.89µm
_4016_,191.62µm
net113,191.29µm
net33,191.16µm
clknet_5_19__leaf_clk_i_regs,191.16µm
net420,191.06µm
_1629_,190.96µm
net146,189.43µm
net334,187.8µm
_2985_,187.24µm
net397,187.09µm
u_core.boti\[1\],186.02µm
_0275_,185.43µm
_3007_,185.41µm
_1749_,185µm
u_sch.kk\[2\],184.44µm
_2938_,184.24µm
_0556_,183.12µm
u_sch.kk\[0\],182.81µm
_1233_,182.56µm
net330,182.4µm
_1778_,182.15µm
_3996_,182.15µm
_3018_,182.1µm
_0003_,182.05µm
net335,181.54µm
_2981_,181.44µm
_3588_,180.42µm
_3581_,179.76µm
_0979_,178.74µm
net387,178.13µm
_3990_,176.4µm
_0507_,175.33µm
_4012_,174.77µm
u_core.re_q_lo\[0\],174.58µm
u_sch.kk\[5\],174.31µm
net422,174.31µm
net248,173.8µm
u_core.boti\[3\],173.65µm
net209,173.19µm
net154,172.83µm
_2996_,172.48µm
u_sch.stage\[2\],171.97µm
net221,171.51µm
_0661_,171.47µm
net130,171.36µm
net324,170.95µm
net224,170.69µm
_3981_,170.34µm
_1441_,169.83µm
